,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
att_str_raw[Arsenal],0.22,0.094,0.053,0.407,0.001,0.001,7490.0,2582.0,1.0
att_str_raw[Aston Villa],0.088,0.101,-0.099,0.277,0.001,0.001,8613.0,2897.0,1.0
att_str_raw[Bournemouth],0.103,0.095,-0.074,0.281,0.001,0.001,7651.0,3121.0,1.0
att_str_raw[Brentford],0.085,0.097,-0.098,0.263,0.001,0.001,6013.0,2948.0,1.0
att_str_raw[Brighton],0.088,0.097,-0.094,0.276,0.001,0.001,7374.0,2721.0,1.0
att_str_raw[Burnley],-0.102,0.359,-0.755,0.572,0.004,0.006,7279.0,2662.0,1.0
att_str_raw[Chelsea],0.213,0.096,0.032,0.39,0.001,0.001,8170.0,3156.0,1.0
att_str_raw[Crystal Palace],0.058,0.098,-0.132,0.239,0.001,0.001,7764.0,2912.0,1.0
att_str_raw[Everton],-0.1,0.097,-0.275,0.082,0.001,0.001,6918.0,3170.0,1.0
att_str_raw[Fulham],-0.041,0.098,-0.224,0.14,0.001,0.002,7600.0,2982.0,1.0
att_str_raw[Leeds],-0.346,0.379,-1.082,0.358,0.005,0.005,6964.0,2673.0,1.0
att_str_raw[Liverpool],0.379,0.098,0.194,0.562,0.001,0.001,6721.0,2671.0,1.0
att_str_raw[Man City],0.305,0.095,0.126,0.484,0.001,0.001,7255.0,3008.0,1.0
att_str_raw[Man United],0.015,0.096,-0.176,0.186,0.001,0.002,6710.0,3280.0,1.0
att_str_raw[Newcastle],0.187,0.098,0.007,0.376,0.001,0.001,7147.0,3104.0,1.0
att_str_raw[Nottm Forest],-0.011,0.098,-0.201,0.169,0.001,0.002,9889.0,2955.0,1.0
att_str_raw[Sunderland],-0.256,0.356,-0.935,0.401,0.004,0.005,7757.0,3063.0,1.0
att_str_raw[Tottenham],0.126,0.098,-0.056,0.303,0.001,0.001,7784.0,2876.0,1.0
att_str_raw[West Ham],-0.077,0.098,-0.264,0.104,0.001,0.001,6876.0,2609.0,1.0
att_str_raw[Wolves],-0.105,0.099,-0.295,0.078,0.001,0.001,7088.0,2697.0,1.0
def_str_raw[Arsenal],-0.361,0.097,-0.535,-0.172,0.001,0.001,7569.0,3273.0,1.0
def_str_raw[Aston Villa],-0.081,0.1,-0.265,0.11,0.001,0.001,6985.0,3055.0,1.0
def_str_raw[Bournemouth],-0.006,0.098,-0.185,0.183,0.001,0.002,7079.0,2790.0,1.0
def_str_raw[Brentford],0.077,0.099,-0.098,0.269,0.001,0.001,7830.0,2858.0,1.0
def_str_raw[Brighton],0.107,0.096,-0.08,0.281,0.001,0.001,6878.0,2938.0,1.0
def_str_raw[Burnley],0.188,0.319,-0.41,0.781,0.004,0.005,7232.0,2778.0,1.0
def_str_raw[Chelsea],-0.175,0.096,-0.36,0.013,0.001,0.001,6899.0,3033.0,1.0
def_str_raw[Crystal Palace],0.021,0.098,-0.166,0.199,0.001,0.002,6976.0,2710.0,1.0
def_str_raw[Everton],-0.088,0.097,-0.265,0.102,0.001,0.001,7117.0,2817.0,1.0
def_str_raw[Fulham],-0.018,0.096,-0.193,0.168,0.001,0.002,7860.0,3107.0,1.0
def_str_raw[Leeds],-0.037,0.335,-0.674,0.59,0.004,0.005,7317.0,2987.0,1.0
def_str_raw[Liverpool],-0.226,0.1,-0.405,-0.034,0.001,0.001,6930.0,3003.0,1.0
def_str_raw[Man City],-0.186,0.098,-0.371,-0.009,0.001,0.001,7616.0,3219.0,1.0
def_str_raw[Man United],-0.017,0.099,-0.196,0.17,0.001,0.002,8850.0,3107.0,1.0
def_str_raw[Newcastle],-0.099,0.095,-0.273,0.089,0.001,0.001,7380.0,2881.0,1.0
def_str_raw[Nottm Forest],-0.022,0.096,-0.195,0.161,0.001,0.002,7645.0,2687.0,1.0
def_str_raw[Sunderland],-0.074,0.347,-0.743,0.564,0.004,0.006,6681.0,2963.0,1.0
def_str_raw[Tottenham],0.136,0.097,-0.052,0.316,0.001,0.001,7283.0,2904.0,1.0
def_str_raw[West Ham],0.133,0.095,-0.049,0.306,0.001,0.001,6866.0,2962.0,1.0
def_str_raw[Wolves],0.158,0.1,-0.036,0.336,0.001,0.001,7272.0,2919.0,1.0
home_adv,0.225,0.141,-0.056,0.471,0.002,0.002,5122.0,3318.0,1.0
baseline,0.087,0.119,-0.144,0.304,0.002,0.001,4458.0,3557.0,1.0
