,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
att_str_raw[Arsenal],0.248,0.179,-0.079,0.59,0.002,0.003,6052.0,2642.0,1.0
att_str_raw[Aston Villa],-0.051,0.187,-0.41,0.29,0.002,0.003,8081.0,3154.0,1.0
att_str_raw[Bournemouth],0.134,0.178,-0.198,0.476,0.002,0.003,7066.0,3499.0,1.0
att_str_raw[Brentford],0.146,0.18,-0.185,0.483,0.002,0.003,6809.0,2855.0,1.0
att_str_raw[Brighton],0.137,0.18,-0.183,0.487,0.002,0.003,7143.0,2809.0,1.0
att_str_raw[Burnley],-0.354,0.22,-0.765,0.071,0.002,0.004,7900.0,2557.0,1.0
att_str_raw[Chelsea],0.286,0.18,-0.057,0.622,0.002,0.003,7918.0,2753.0,1.0
att_str_raw[Crystal Palace],0.121,0.176,-0.201,0.453,0.002,0.003,6627.0,2808.0,1.0
att_str_raw[Everton],-0.109,0.19,-0.469,0.246,0.002,0.003,6464.0,2816.0,1.0
att_str_raw[Fulham],-0.054,0.188,-0.4,0.292,0.002,0.003,7438.0,3090.0,1.0
att_str_raw[Leeds],-0.105,0.203,-0.497,0.255,0.002,0.004,7913.0,2915.0,1.0
att_str_raw[Liverpool],0.262,0.182,-0.072,0.614,0.002,0.003,6572.0,2952.0,1.0
att_str_raw[Man City],0.315,0.171,-0.023,0.613,0.002,0.003,6708.0,2901.0,1.0
att_str_raw[Man United],0.11,0.19,-0.276,0.442,0.002,0.003,6514.0,3097.0,1.0
att_str_raw[Newcastle],0.168,0.18,-0.173,0.496,0.002,0.003,6795.0,3149.0,1.0
att_str_raw[Nottm Forest],-0.049,0.184,-0.403,0.297,0.002,0.003,6031.0,2808.0,1.0
att_str_raw[Sunderland],-0.361,0.216,-0.773,0.025,0.003,0.004,7022.0,2856.0,1.0
att_str_raw[Tottenham],0.004,0.182,-0.326,0.345,0.002,0.003,6999.0,3240.0,1.0
att_str_raw[West Ham],-0.103,0.19,-0.45,0.241,0.002,0.003,6917.0,2976.0,1.0
att_str_raw[Wolves],-0.214,0.197,-0.591,0.155,0.002,0.003,6681.0,2669.0,1.0
def_str_raw[Arsenal],-0.518,0.206,-0.897,-0.142,0.002,0.004,8144.0,2966.0,1.0
def_str_raw[Aston Villa],-0.127,0.185,-0.467,0.219,0.002,0.003,6324.0,3043.0,1.0
def_str_raw[Bournemouth],0.046,0.183,-0.317,0.365,0.002,0.003,6737.0,2816.0,1.0
def_str_raw[Brentford],-0.012,0.182,-0.355,0.327,0.002,0.004,7161.0,2436.0,1.0
def_str_raw[Brighton],0.014,0.181,-0.314,0.37,0.002,0.003,6862.0,3169.0,1.0
def_str_raw[Burnley],0.338,0.179,0.004,0.675,0.002,0.003,5175.0,3056.0,1.0
