,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
att_str_raw[Arsenal],0.249,0.179,-0.08,0.587,0.002,0.002,6831.0,3221.0,1.0
att_str_raw[Aston Villa],0.012,0.186,-0.352,0.35,0.002,0.003,6776.0,3090.0,1.0
att_str_raw[Bournemouth],0.082,0.176,-0.229,0.437,0.002,0.002,7438.0,3236.0,1.0
att_str_raw[Brentford],0.083,0.18,-0.244,0.429,0.002,0.003,7633.0,3229.0,1.0
att_str_raw[Brighton],0.112,0.175,-0.212,0.436,0.002,0.002,6424.0,3098.0,1.0
att_str_raw[Burnley],-0.238,0.255,-0.752,0.198,0.003,0.003,6981.0,3093.0,1.0
att_str_raw[Chelsea],0.274,0.177,-0.04,0.616,0.002,0.002,6975.0,3160.0,1.0
att_str_raw[Crystal Palace],0.061,0.178,-0.262,0.403,0.002,0.003,6384.0,3270.0,1.0
att_str_raw[Everton],-0.089,0.178,-0.424,0.239,0.002,0.003,7407.0,3075.0,1.0
att_str_raw[Fulham],-0.019,0.179,-0.334,0.317,0.002,0.003,7464.0,2774.0,1.0
att_str_raw[Leeds],-0.158,0.254,-0.604,0.34,0.003,0.004,5902.0,2763.0,1.0
att_str_raw[Liverpool],0.398,0.181,0.049,0.73,0.002,0.002,7268.0,2931.0,1.0
att_str_raw[Man City],0.302,0.173,-0.021,0.63,0.002,0.002,6732.0,2845.0,1.0
att_str_raw[Man United],0.03,0.188,-0.307,0.399,0.002,0.003,6874.0,2965.0,1.0
att_str_raw[Newcastle],0.102,0.183,-0.23,0.443,0.002,0.002,6130.0,3550.0,1.0
att_str_raw[Nottm Forest],-0.043,0.184,-0.404,0.289,0.002,0.003,6444.0,2951.0,1.0
att_str_raw[Sunderland],-0.248,0.258,-0.717,0.254,0.003,0.003,7667.0,3037.0,1.0
att_str_raw[Tottenham],0.167,0.179,-0.166,0.498,0.002,0.002,6838.0,3096.0,1.0
att_str_raw[West Ham],-0.074,0.18,-0.4,0.266,0.002,0.003,6753.0,3169.0,1.0
att_str_raw[Wolves],-0.121,0.188,-0.459,0.25,0.002,0.003,7199.0,3082.0,1.0
def_str_raw[Arsenal],-0.416,0.187,-0.778,-0.076,0.002,0.002,7221.0,2998.0,1.0
def_str_raw[Aston Villa],-0.051,0.181,-0.384,0.298,0.002,0.003,6836.0,2975.0,1.0
def_str_raw[Bournemouth],-0.061,0.178,-0.393,0.274,0.002,0.003,6725.0,3032.0,1.0
def_str_raw[Brentford],0.058,0.179,-0.283,0.388,0.002,0.003,6564.0,3163.0,1.0
def_str_raw[Brighton],0.112,0.178,-0.262,0.42,0.002,0.002,7410.0,3265.0,1.0
def_str_raw[Burnley],0.125,0.247,-0.316,0.595,0.003,0.004,7278.0,2699.0,1.0
def_str_raw[Chelsea],-0.189,0.19,-0.532,0.18,0.002,0.002,6956.0,2888.0,1.0
def_str_raw[Crystal Palace],-0.059,0.182,-0.4,0.287,0.002,0.003,6653.0,2949.0,1.0
def_str_raw[Everton],-0.103,0.184,-0.447,0.232,0.002,0.003,6704.0,2971.0,1.0
def_str_raw[Fulham],-0.05,0.176,-0.386,0.272,0.002,0.003,8636.0,3049.0,1.0
def_str_raw[Leeds],0.036,0.25,-0.423,0.522,0.003,0.004,6038.0,3126.0,1.0
def_str_raw[Liverpool],-0.234,0.19,-0.59,0.111,0.002,0.002,6444.0,3110.0,1.0
def_str_raw[Man City],-0.185,0.185,-0.521,0.175,0.002,0.002,7639.0,2854.0,1.0
def_str_raw[Man United],0.033,0.179,-0.305,0.366,0.002,0.003,7166.0,2816.0,1.01
