,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
att_str_raw[AGF],0.422,0.35,-0.229,1.07,0.014,0.007,592.0,1074.0,1.01
att_str_raw[Brøndby IF],0.129,0.362,-0.503,0.847,0.015,0.007,601.0,1093.0,1.01
att_str_raw[FC København],0.252,0.358,-0.441,0.911,0.015,0.007,592.0,1098.0,1.01
att_str_raw[FC Midtjylland],0.391,0.352,-0.27,1.066,0.015,0.007,575.0,1187.0,1.01
att_str_raw[Fredericia],-0.305,0.393,-1.014,0.445,0.015,0.007,727.0,1541.0,1.01
att_str_raw[Nordsjælland],-0.154,0.378,-0.874,0.555,0.015,0.007,641.0,1584.0,1.01
att_str_raw[OB],0.004,0.369,-0.679,0.714,0.015,0.007,622.0,1237.0,1.01
att_str_raw[Randers FC],-0.159,0.375,-0.851,0.561,0.015,0.007,650.0,1171.0,1.01
att_str_raw[Silkeborg],0.063,0.364,-0.658,0.717,0.015,0.007,608.0,1084.0,1.01
att_str_raw[Sønderjyske],-0.138,0.382,-0.805,0.634,0.015,0.007,659.0,1286.0,1.01
att_str_raw[Vejle Boldklub],-0.353,0.396,-1.093,0.376,0.015,0.007,716.0,1156.0,1.01
att_str_raw[Viborg],-0.074,0.37,-0.783,0.616,0.015,0.007,617.0,1040.0,1.01
def_str_raw[AGF],-0.191,0.39,-0.864,0.583,0.013,0.007,852.0,1458.0,1.01
def_str_raw[Brøndby IF],-0.204,0.381,-0.946,0.468,0.013,0.007,807.0,1694.0,1.0
def_str_raw[FC København],-0.124,0.383,-0.826,0.628,0.013,0.007,822.0,1785.0,1.01
def_str_raw[FC Midtjylland],0.036,0.381,-0.666,0.768,0.013,0.007,858.0,1597.0,1.01
def_str_raw[Fredericia],0.231,0.354,-0.448,0.879,0.013,0.007,737.0,1591.0,1.01
def_str_raw[Nordsjælland],0.056,0.374,-0.618,0.764,0.014,0.007,765.0,1742.0,1.01
def_str_raw[OB],0.22,0.357,-0.442,0.906,0.013,0.006,734.0,1508.0,1.01
def_str_raw[Randers FC],-0.07,0.376,-0.77,0.643,0.013,0.007,774.0,1371.0,1.01
def_str_raw[Silkeborg],0.307,0.349,-0.329,0.989,0.013,0.006,688.0,1351.0,1.01
def_str_raw[Sønderjyske],-0.046,0.374,-0.765,0.64,0.013,0.007,852.0,1611.0,1.01
def_str_raw[Vejle Boldklub],0.001,0.365,-0.695,0.689,0.013,0.007,794.0,1468.0,1.0
def_str_raw[Viborg],0.02,0.365,-0.632,0.747,0.013,0.007,761.0,1416.0,1.01
home_adv,0.184,0.074,0.053,0.328,0.001,0.001,3192.0,2189.0,1.0
baseline,0.279,0.044,0.194,0.36,0.001,0.001,2834.0,2892.0,1.0
att_str[AGF],0.415,0.2,0.062,0.795,0.002,0.003,9477.0,3371.0,1.0
att_str[Brøndby IF],0.123,0.22,-0.298,0.538,0.002,0.004,8572.0,2525.0,1.0
att_str[FC København],0.245,0.211,-0.162,0.628,0.002,0.004,8711.0,3217.0,1.0
att_str[FC Midtjylland],0.384,0.206,-0.003,0.788,0.002,0.004,8262.0,2525.0,1.0
att_str[Fredericia],-0.312,0.273,-0.82,0.192,0.003,0.005,7362.0,2937.0,1.01
att_str[Nordsjælland],-0.16,0.256,-0.65,0.315,0.003,0.005,8650.0,2695.0,1.0
att_str[OB],-0.002,0.231,-0.441,0.425,0.003,0.004,8524.0,3126.0,1.0
att_str[Randers FC],-0.165,0.242,-0.619,0.282,0.003,0.004,8559.0,2890.0,1.0
att_str[Silkeborg],0.056,0.228,-0.37,0.492,0.003,0.004,7364.0,3147.0,1.0
att_str[Sønderjyske],-0.145,0.249,-0.598,0.332,0.003,0.004,8652.0,3190.0,1.0
att_str[Vejle Boldklub],-0.359,0.27,-0.865,0.135,0.003,0.005,6288.0,3136.0,1.0
att_str[Viborg],-0.08,0.239,-0.546,0.343,0.003,0.004,9105.0,2839.0,1.0
def_str[AGF],-0.211,0.265,-0.723,0.268,0.003,0.004,6882.0,2800.0,1.01
def_str[Brøndby IF],-0.224,0.253,-0.692,0.247,0.003,0.005,8457.0,2960.0,1.0
def_str[FC København],-0.143,0.254,-0.624,0.319,0.003,0.005,8165.0,2855.0,1.0
def_str[FC Midtjylland],0.016,0.249,-0.444,0.478,0.003,0.005,7128.0,2315.0,1.0
def_str[Fredericia],0.212,0.211,-0.21,0.574,0.002,0.004,8711.0,3155.0,1.0
def_str[Nordsjælland],0.036,0.238,-0.416,0.461,0.003,0.004,8743.0,2950.0,1.0
def_str[OB],0.201,0.216,-0.19,0.594,0.002,0.004,9828.0,3349.0,1.0
def_str[Randers FC],-0.09,0.24,-0.537,0.347,0.003,0.004,8380.0,2933.0,1.0
def_str[Silkeborg],0.287,0.2,-0.085,0.658,0.002,0.003,7799.0,2925.0,1.0
def_str[Sønderjyske],-0.065,0.242,-0.508,0.378,0.003,0.004,7902.0,2853.0,1.0
def_str[Vejle Boldklub],-0.019,0.229,-0.448,0.411,0.002,0.004,8614.0,2946.0,1.0
def_str[Viborg],0.0,0.227,-0.429,0.404,0.003,0.004,7953.0,2778.0,1.0
