,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
att_str_raw[0],-0.107,0.27,-0.614,0.404,0.008,0.005,1266.0,2611.0,1.0
att_str_raw[1],-0.379,0.282,-0.902,0.161,0.008,0.005,1393.0,3039.0,1.0
att_str_raw[2],0.146,0.26,-0.339,0.637,0.008,0.005,1176.0,2719.0,1.0
att_str_raw[3],-0.184,0.271,-0.667,0.345,0.008,0.005,1238.0,2705.0,1.0
att_str_raw[4],0.233,0.258,-0.253,0.719,0.008,0.005,1138.0,2424.0,1.0
att_str_raw[5],-0.047,0.266,-0.551,0.452,0.008,0.005,1215.0,2779.0,1.0
att_str_raw[6],-0.151,0.27,-0.635,0.387,0.008,0.005,1249.0,2537.0,1.0
att_str_raw[7],0.127,0.26,-0.371,0.609,0.008,0.005,1154.0,2444.0,1.0
att_str_raw[8],0.157,0.26,-0.316,0.658,0.008,0.005,1153.0,2424.0,1.0
att_str_raw[9],-0.493,0.285,-1.033,0.045,0.008,0.005,1389.0,2775.0,1.0
att_str_raw[10],0.163,0.261,-0.322,0.657,0.008,0.005,1193.0,2368.0,1.0
att_str_raw[11],0.097,0.262,-0.387,0.602,0.008,0.005,1197.0,2629.0,1.0
att_str_raw[12],0.118,0.262,-0.367,0.622,0.008,0.005,1165.0,2410.0,1.0
att_str_raw[13],0.067,0.263,-0.445,0.55,0.008,0.005,1190.0,2324.0,1.0
att_str_raw[14],-0.057,0.266,-0.547,0.451,0.008,0.005,1210.0,2716.0,1.0
att_str_raw[15],0.411,0.252,-0.08,0.865,0.008,0.005,1089.0,2260.0,1.0
att_str_raw[16],0.238,0.256,-0.249,0.721,0.008,0.005,1121.0,2392.0,1.0
att_str_raw[17],-0.599,0.292,-1.157,-0.06,0.008,0.005,1512.0,3186.0,1.0
att_str_raw[18],0.103,0.262,-0.39,0.597,0.008,0.005,1160.0,2197.0,1.0
att_str_raw[19],-0.155,0.271,-0.668,0.355,0.008,0.005,1278.0,2561.0,1.0
def_str_raw[0],0.002,0.269,-0.497,0.516,0.008,0.006,1075.0,2431.0,1.0
def_str_raw[1],0.292,0.261,-0.189,0.793,0.008,0.006,994.0,2226.0,1.0
def_str_raw[2],-0.439,0.294,-1.006,0.106,0.008,0.006,1259.0,2725.0,1.0
def_str_raw[3],-0.159,0.274,-0.676,0.35,0.008,0.006,1115.0,2469.0,1.0
def_str_raw[4],-0.117,0.275,-0.624,0.409,0.008,0.006,1094.0,2567.0,1.01
def_str_raw[5],-0.1,0.274,-0.606,0.424,0.008,0.006,1096.0,2384.0,1.0
def_str_raw[6],0.136,0.264,-0.368,0.62,0.008,0.006,1024.0,2127.0,1.01
def_str_raw[7],0.045,0.266,-0.467,0.536,0.008,0.006,1034.0,2235.0,1.0
def_str_raw[8],-0.173,0.275,-0.672,0.36,0.008,0.006,1108.0,2322.0,1.0
def_str_raw[9],0.295,0.257,-0.178,0.782,0.008,0.006,985.0,2005.0,1.0
def_str_raw[10],-0.047,0.274,-0.576,0.454,0.008,0.006,1103.0,2256.0,1.0
def_str_raw[11],-0.104,0.275,-0.61,0.421,0.008,0.006,1108.0,2357.0,1.0
def_str_raw[12],0.103,0.267,-0.39,0.612,0.008,0.006,1032.0,2138.0,1.0
def_str_raw[13],0.028,0.27,-0.477,0.537,0.008,0.006,1079.0,2335.0,1.0
def_str_raw[14],-0.064,0.271,-0.576,0.446,0.008,0.006,1090.0,2441.0,1.0
def_str_raw[15],-0.279,0.282,-0.815,0.251,0.008,0.006,1215.0,2715.0,1.0
def_str_raw[16],-0.151,0.275,-0.696,0.336,0.008,0.006,1091.0,2490.0,1.0
def_str_raw[17],0.411,0.256,-0.072,0.893,0.008,0.006,961.0,1947.0,1.01
def_str_raw[18],0.26,0.261,-0.248,0.731,0.008,0.006,1015.0,2291.0,1.0
def_str_raw[19],0.175,0.263,-0.323,0.661,0.008,0.006,1015.0,2074.0,1.01
baseline,0.277,0.038,0.206,0.348,0.0,0.0,7259.0,11031.0,1.0
home_adv,0.105,0.04,0.033,0.176,0.0,0.0,6741.0,6858.0,1.0
att_str[0],-0.091,0.153,-0.383,0.196,0.001,0.001,30762.0,13987.0,1.0
att_str[1],-0.363,0.175,-0.696,-0.039,0.001,0.001,24420.0,14195.0,1.0
att_str[2],0.162,0.134,-0.097,0.404,0.001,0.001,37142.0,15458.0,1.0
att_str[3],-0.169,0.152,-0.455,0.115,0.001,0.001,30105.0,14664.0,1.0
att_str[4],0.249,0.13,-0.009,0.479,0.001,0.001,36863.0,14662.0,1.0
att_str[5],-0.032,0.145,-0.306,0.237,0.001,0.001,32437.0,14243.0,1.0
att_str[6],-0.135,0.153,-0.422,0.15,0.001,0.001,30091.0,14520.0,1.0
att_str[7],0.143,0.135,-0.121,0.387,0.001,0.001,34844.0,14816.0,1.0
att_str[8],0.172,0.133,-0.074,0.423,0.001,0.001,38700.0,15373.0,1.0
att_str[9],-0.477,0.178,-0.818,-0.147,0.001,0.001,26385.0,14594.0,1.0
att_str[10],0.179,0.137,-0.078,0.437,0.001,0.001,38210.0,14965.0,1.0
att_str[11],0.113,0.139,-0.147,0.376,0.001,0.001,35679.0,14869.0,1.0
att_str[12],0.134,0.137,-0.117,0.393,0.001,0.001,37556.0,15606.0,1.0
att_str[13],0.083,0.14,-0.186,0.338,0.001,0.001,36302.0,14818.0,1.0
att_str[14],-0.042,0.147,-0.306,0.245,0.001,0.001,34358.0,15352.0,1.0
att_str[15],0.426,0.118,0.208,0.65,0.001,0.0,39644.0,15270.0,1.0
att_str[16],0.254,0.127,0.007,0.485,0.001,0.001,37756.0,14364.0,1.0
att_str[17],-0.584,0.192,-0.952,-0.233,0.001,0.001,20442.0,13491.0,1.0
att_str[18],0.119,0.136,-0.144,0.37,0.001,0.001,34634.0,14895.0,1.0
att_str[19],-0.139,0.154,-0.434,0.149,0.001,0.001,30757.0,14987.0,1.0
def_str[0],-0.003,0.145,-0.278,0.265,0.001,0.001,33102.0,15223.0,1.0
def_str[1],0.287,0.128,0.043,0.528,0.001,0.001,38012.0,14624.0,1.0
def_str[2],-0.445,0.184,-0.789,-0.098,0.001,0.001,22335.0,14515.0,1.0
def_str[3],-0.165,0.152,-0.454,0.119,0.001,0.001,30162.0,13494.0,1.0
def_str[4],-0.122,0.154,-0.417,0.163,0.001,0.001,29616.0,15532.0,1.0
def_str[5],-0.106,0.152,-0.407,0.167,0.001,0.001,30620.0,13623.0,1.0
def_str[6],0.13,0.134,-0.115,0.386,0.001,0.001,38851.0,14961.0,1.0
def_str[7],0.039,0.138,-0.225,0.295,0.001,0.001,33062.0,14273.0,1.0
def_str[8],-0.179,0.156,-0.48,0.103,0.001,0.001,29274.0,13969.0,1.0
def_str[9],0.289,0.122,0.06,0.516,0.001,0.0,43378.0,15436.0,1.0
def_str[10],-0.053,0.152,-0.328,0.239,0.001,0.001,29719.0,14578.0,1.0
def_str[11],-0.11,0.154,-0.402,0.179,0.001,0.001,32045.0,14991.0,1.0
def_str[12],0.097,0.14,-0.172,0.354,0.001,0.001,37693.0,15462.0,1.0
def_str[13],0.023,0.144,-0.248,0.289,0.001,0.001,33952.0,15591.0,1.0
def_str[14],-0.07,0.15,-0.35,0.211,0.001,0.001,31749.0,14899.0,1.0
def_str[15],-0.285,0.168,-0.614,0.017,0.001,0.001,27515.0,14574.0,1.0
def_str[16],-0.156,0.154,-0.441,0.133,0.001,0.001,31539.0,14925.0,1.0
def_str[17],0.405,0.119,0.174,0.618,0.001,0.0,38865.0,13867.0,1.0
def_str[18],0.254,0.128,0.017,0.495,0.001,0.001,39903.0,14944.0,1.0
def_str[19],0.169,0.132,-0.074,0.422,0.001,0.001,36711.0,14924.0,1.0
