,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
att_str_raw[Blackburn],-0.066,0.258,-0.541,0.43,0.016,0.012,252.0,583.0,1.01
att_str_raw[Bristol City],0.027,0.253,-0.432,0.519,0.016,0.011,244.0,704.0,1.01
att_str_raw[Burnley],0.068,0.25,-0.414,0.525,0.015,0.011,262.0,775.0,1.01
att_str_raw[Cardiff City],-0.199,0.265,-0.699,0.306,0.016,0.011,268.0,755.0,1.0
att_str_raw[Coventry],0.173,0.247,-0.306,0.623,0.016,0.011,239.0,695.0,1.01
att_str_raw[Derby],-0.083,0.255,-0.556,0.405,0.016,0.011,254.0,641.0,1.0
att_str_raw[Hull],-0.15,0.255,-0.618,0.335,0.015,0.011,272.0,625.0,1.01
att_str_raw[Leeds],0.494,0.232,0.052,0.916,0.016,0.011,211.0,562.0,1.01
att_str_raw[Luton Town],-0.139,0.26,-0.612,0.354,0.016,0.011,256.0,622.0,1.0
att_str_raw[Middlesbrough],0.194,0.243,-0.247,0.643,0.016,0.011,235.0,609.0,1.01
att_str_raw[Millwall],-0.11,0.256,-0.597,0.353,0.016,0.011,256.0,765.0,1.01
att_str_raw[Norwich],0.128,0.246,-0.309,0.614,0.016,0.011,233.0,666.0,1.01
att_str_raw[Oxford Utd],-0.235,0.266,-0.732,0.262,0.016,0.011,275.0,771.0,1.01
att_str_raw[Plymouth Argyle],-0.087,0.259,-0.561,0.403,0.016,0.011,259.0,812.0,1.01
att_str_raw[Portsmouth],0.023,0.253,-0.463,0.474,0.016,0.011,245.0,760.0,1.0
att_str_raw[Preston],-0.102,0.252,-0.55,0.395,0.015,0.011,267.0,849.0,1.01
att_str_raw[QPR],-0.044,0.255,-0.497,0.46,0.015,0.011,287.0,767.0,1.0
att_str_raw[Sheff Utd],0.063,0.246,-0.418,0.51,0.016,0.011,235.0,637.0,1.01
att_str_raw[Sheff Wed],0.105,0.251,-0.355,0.562,0.016,0.011,262.0,793.0,1.01
att_str_raw[Stoke],-0.133,0.257,-0.61,0.359,0.016,0.011,252.0,857.0,1.01
att_str_raw[Sunderland],0.069,0.249,-0.37,0.557,0.016,0.011,244.0,559.0,1.01
att_str_raw[Swansea],-0.021,0.25,-0.491,0.45,0.016,0.011,245.0,666.0,1.01
att_str_raw[Watford],-0.055,0.26,-0.532,0.429,0.016,0.012,250.0,803.0,1.01
att_str_raw[West Brom],0.056,0.25,-0.416,0.525,0.017,0.012,227.0,630.0,1.01
def_str_raw[Blackburn],-0.066,0.254,-0.558,0.385,0.012,0.009,421.0,1009.0,1.01
def_str_raw[Bristol City],0.012,0.249,-0.435,0.497,0.012,0.009,412.0,1309.0,1.01
def_str_raw[Burnley],-0.617,0.286,-1.15,-0.079,0.012,0.009,532.0,1373.0,1.01
def_str_raw[Cardiff City],0.154,0.245,-0.285,0.632,0.012,0.009,395.0,1084.0,1.01
def_str_raw[Coventry],-0.008,0.257,-0.486,0.468,0.013,0.009,409.0,1016.0,1.01
def_str_raw[Derby],-0.081,0.252,-0.553,0.399,0.012,0.009,424.0,981.0,1.01
def_str_raw[Hull],-0.123,0.257,-0.635,0.331,0.012,0.009,427.0,1111.0,1.01
