,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
att_str_raw[0],0.324,0.248,-0.191,0.753,0.019,0.013,178.0,452.0,1.03
att_str_raw[1],0.152,0.252,-0.338,0.609,0.019,0.013,185.0,529.0,1.03
att_str_raw[2],-0.11,0.264,-0.59,0.409,0.019,0.013,201.0,546.0,1.02
att_str_raw[3],-0.046,0.261,-0.546,0.417,0.018,0.013,202.0,534.0,1.02
att_str_raw[4],-0.12,0.264,-0.616,0.363,0.018,0.013,206.0,618.0,1.02
att_str_raw[5],-0.426,0.278,-0.93,0.099,0.019,0.013,226.0,611.0,1.02
att_str_raw[6],0.233,0.256,-0.236,0.718,0.019,0.013,189.0,505.0,1.03
att_str_raw[7],-0.153,0.265,-0.638,0.344,0.019,0.013,205.0,551.0,1.02
att_str_raw[8],-0.184,0.262,-0.664,0.322,0.018,0.013,203.0,523.0,1.02
att_str_raw[9],-0.111,0.261,-0.606,0.38,0.019,0.013,197.0,565.0,1.03
att_str_raw[10],0.402,0.251,-0.081,0.863,0.019,0.013,181.0,537.0,1.03
att_str_raw[11],-0.204,0.268,-0.736,0.273,0.019,0.013,206.0,549.0,1.02
att_str_raw[12],0.338,0.249,-0.146,0.783,0.019,0.013,176.0,489.0,1.03
att_str_raw[13],-0.105,0.261,-0.577,0.376,0.018,0.013,203.0,508.0,1.02
att_str_raw[14],0.278,0.252,-0.174,0.761,0.019,0.013,181.0,480.0,1.03
att_str_raw[15],-0.214,0.268,-0.678,0.331,0.019,0.013,204.0,640.0,1.03
att_str_raw[16],-0.443,0.277,-0.946,0.11,0.018,0.013,228.0,704.0,1.02
att_str_raw[17],0.183,0.254,-0.351,0.612,0.019,0.013,187.0,480.0,1.03
att_str_raw[18],-0.066,0.26,-0.531,0.437,0.018,0.013,203.0,478.0,1.02
att_str_raw[19],-0.161,0.261,-0.655,0.312,0.018,0.013,200.0,529.0,1.02
def_str_raw[0],-0.733,0.305,-1.306,-0.196,0.022,0.016,191.0,496.0,1.02
def_str_raw[1],0.051,0.273,-0.427,0.584,0.022,0.016,155.0,390.0,1.02
def_str_raw[2],-0.003,0.275,-0.514,0.502,0.022,0.015,160.0,354.0,1.02
def_str_raw[3],-0.065,0.275,-0.565,0.451,0.022,0.015,165.0,390.0,1.01
def_str_raw[4],-0.034,0.279,-0.544,0.5,0.023,0.016,153.0,392.0,1.02
def_str_raw[5],0.186,0.273,-0.337,0.67,0.022,0.015,159.0,357.0,1.01
def_str_raw[6],0.016,0.274,-0.489,0.531,0.022,0.015,159.0,370.0,1.01
