round,match_date,home_team,away_team,match_url,player_name,team_name,side,minute
1,2024-08-17,Everton,Brighton & Hove Albion,https://www.fotmob.com/en-GB/matches/everton-vs-brighton-hove-albion/2y16fs#4506266:tab=stats,Young,Brighton & Hove Albion,away,66
1,2024-08-17,Newcastle United,Southampton,https://www.fotmob.com/en-GB/matches/southampton-vs-newcastle-united/2weqvy#4506267:tab=stats,Schär,Southampton,away,28
3,2024-08-31,Arsenal,Brighton & Hove Albion,https://www.fotmob.com/en-GB/matches/arsenal-vs-brighton-hove-albion/3bfk5g#4506283:tab=stats,Rice,Brighton & Hove Albion,away,49
4,2024-09-14,Southampton,Manchester United,https://www.fotmob.com/en-GB/matches/southampton-vs-manchester-united/2wecfr#4506300:tab=stats,Stephens,Manchester United,away,79
5,2024-09-22,Brighton & Hove Albion,Nottingham Forest,https://www.fotmob.com/en-GB/matches/nottingham-forest-vs-brighton-hove-albion/3fzdi8#4506304:tab=stats,Gibbs-White,Nottingham Forest,away,83
6,2024-09-29,Manchester United,Tottenham Hotspur,https://www.fotmob.com/en-GB/matches/tottenham-hotspur-vs-manchester-united/2xqo0r#4506319:tab=stats,Fernandes,Tottenham Hotspur,away,42
7,2024-10-06,Chelsea,Nottingham Forest,https://www.fotmob.com/en-GB/matches/chelsea-vs-nottingham-forest/2vn3ne#4506327:tab=stats,Ward-Prowse,Nottingham Forest,away,78
8,2024-10-19,Tottenham Hotspur,West Ham United,https://www.fotmob.com/en-GB/matches/tottenham-hotspur-vs-west-ham-united/2ghkm2#4506401:tab=stats,Kudus,West Ham United,away,86
8,2024-10-19,Fulham,Aston Villa,https://www.fotmob.com/en-GB/matches/fulham-vs-aston-villa/3cnglp#4506394:tab=stats,Andersen,Aston Villa,away,64
8,2024-10-19,AFC Bournemouth,Arsenal,https://www.fotmob.com/en-GB/matches/afc-bournemouth-vs-arsenal/2txefx#4506393:tab=stats,Saliba,Arsenal,away,30
8,2024-10-19,Southampton,Leicester City,https://www.fotmob.com/en-GB/matches/leicester-city-vs-southampton/2anx5y#4506400:tab=stats,Fraser,Leicester City,away,73
9,2024-10-26,Brentford,Ipswich Town,https://www.fotmob.com/en-GB/matches/ipswich-town-vs-brentford/396dqp#4506405:tab=stats,H. Clarke,Ipswich Town,away,69
10,2024-11-02,Ipswich Town,Leicester City,https://www.fotmob.com/en-GB/matches/leicester-city-vs-ipswich-town/2pixek#4506465:tab=stats,Phillips,Leicester City,away,77
11,2024-11-09,Crystal Palace,Fulham,https://www.fotmob.com/en-GB/matches/crystal-palace-vs-fulham/37llbg#4506476:tab=stats,Kamada,Fulham,away,76
12,2024-11-23,AFC Bournemouth,Brighton & Hove Albion,https://www.fotmob.com/en-GB/matches/afc-bournemouth-vs-brighton-hove-albion/2y583t#4506533:tab=stats,Baleba,Brighton & Hove Albion,away,59
12,2024-11-23,Everton,Brentford,https://www.fotmob.com/en-GB/matches/everton-vs-brentford/2v1yu4#4506536:tab=stats,Nørgaard,Everton,home,41
