,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
att_str_raw[Arsenal],0.302,0.174,-0.018,0.623,0.003,0.002,2810.0,2990.0,1.0
att_str_raw[Aston Villa],0.116,0.19,-0.226,0.481,0.003,0.003,3187.0,2812.0,1.0
att_str_raw[Bournemouth],0.188,0.184,-0.168,0.519,0.003,0.003,3045.0,2676.0,1.0
att_str_raw[Brentford],0.124,0.184,-0.215,0.479,0.003,0.003,3340.0,3048.0,1.0
att_str_raw[Brighton],0.055,0.192,-0.323,0.399,0.004,0.003,2981.0,2728.0,1.0
att_str_raw[Burnley],-0.34,0.221,-0.787,0.051,0.004,0.003,3876.0,3133.0,1.0
att_str_raw[Chelsea],0.277,0.176,-0.04,0.616,0.003,0.002,2782.0,3113.0,1.0
att_str_raw[Crystal Palace],0.023,0.192,-0.329,0.388,0.003,0.003,3394.0,2703.0,1.0
att_str_raw[Everton],-0.098,0.2,-0.448,0.299,0.004,0.003,3327.0,2947.0,1.0
att_str_raw[Fulham],-0.007,0.195,-0.385,0.342,0.003,0.003,3461.0,2477.0,1.0
att_str_raw[Leeds],0.104,0.2,-0.276,0.475,0.004,0.003,3211.0,2753.0,1.0
att_str_raw[Liverpool],0.279,0.18,-0.065,0.609,0.003,0.003,3228.0,2686.0,1.0
att_str_raw[Man City],0.325,0.179,-0.012,0.661,0.003,0.003,3718.0,2799.0,1.0
att_str_raw[Man United],0.242,0.179,-0.102,0.57,0.003,0.003,2766.0,2944.0,1.0
att_str_raw[Newcastle],0.152,0.184,-0.19,0.504,0.003,0.003,2855.0,2703.0,1.0
att_str_raw[Nottm Forest],-0.096,0.199,-0.484,0.258,0.003,0.003,3290.0,2662.0,1.0
att_str_raw[Sunderland],-0.341,0.232,-0.778,0.092,0.004,0.004,3804.0,2731.0,1.0
att_str_raw[Tottenham],0.007,0.193,-0.341,0.376,0.003,0.003,3354.0,3181.0,1.0
att_str_raw[West Ham],-0.116,0.203,-0.481,0.274,0.003,0.003,3693.0,3055.0,1.0
att_str_raw[Wolves],-0.362,0.216,-0.776,0.039,0.003,0.003,4612.0,2962.0,1.0
def_str_raw[Arsenal],-0.516,0.218,-0.924,-0.115,0.003,0.003,4320.0,2934.0,1.0
def_str_raw[Aston Villa],-0.069,0.191,-0.424,0.292,0.003,0.003,3988.0,3107.0,1.0
def_str_raw[Bournemouth],0.103,0.176,-0.222,0.432,0.003,0.003,3844.0,2817.0,1.0
def_str_raw[Brentford],-0.1,0.198,-0.467,0.282,0.003,0.003,3548.0,2669.0,1.0
def_str_raw[Brighton],-0.053,0.192,-0.401,0.307,0.003,0.003,3893.0,3089.0,1.0
def_str_raw[Burnley],0.304,0.178,-0.037,0.624,0.003,0.003,3018.0,2566.0,1.0
def_str_raw[Chelsea],-0.024,0.189,-0.377,0.327,0.003,0.003,3396.0,2336.0,1.0
def_str_raw[Crystal Palace],-0.012,0.187,-0.373,0.339,0.003,0.003,3850.0,2715.0,1.0
def_str_raw[Everton],-0.007,0.189,-0.365,0.347,0.003,0.003,3536.0,2831.0,1.0
def_str_raw[Fulham],0.035,0.185,-0.308,0.377,0.003,0.003,3327.0,2535.0,1.0
def_str_raw[Leeds],0.069,0.192,-0.295,0.427,0.003,0.003,3276.0,3066.0,1.0
def_str_raw[Liverpool],-0.181,0.201,-0.54,0.208,0.003,0.003,4130.0,3025.0,1.0
def_str_raw[Man City],-0.18,0.197,-0.548,0.192,0.003,0.003,3484.0,2832.0,1.0
def_str_raw[Man United],-0.01,0.188,-0.36,0.342,0.003,0.003,3737.0,2941.0,1.0
def_str_raw[Newcastle],-0.083,0.191,-0.455,0.266,0.003,0.003,3905.0,3015.0,1.0
def_str_raw[Nottm Forest],0.011,0.187,-0.332,0.371,0.003,0.003,3790.0,3196.0,1.0
def_str_raw[Sunderland],-0.003,0.203,-0.381,0.383,0.003,0.003,3675.0,2394.0,1.0
def_str_raw[Tottenham],0.093,0.18,-0.226,0.455,0.003,0.003,3660.0,2806.0,1.0
def_str_raw[West Ham],0.189,0.18,-0.14,0.53,0.003,0.003,3174.0,2590.0,1.0
def_str_raw[Wolves],0.107,0.177,-0.241,0.419,0.003,0.003,3510.0,3078.0,1.0
red_att_effect,-0.601,0.204,-1.005,-0.236,0.003,0.004,5894.0,2810.0,1.0
