,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
att_str_raw[Barnsley],0.025,0.255,-0.458,0.493,0.017,0.012,229.0,403.0,1.01
att_str_raw[Birmingham],-0.271,0.268,-0.753,0.245,0.016,0.012,266.0,637.0,1.01
att_str_raw[Blackburn],0.128,0.252,-0.357,0.59,0.017,0.012,214.0,531.0,1.01
att_str_raw[Bournemouth],0.257,0.247,-0.214,0.709,0.017,0.012,222.0,554.0,1.01
att_str_raw[Brentford],0.333,0.243,-0.094,0.806,0.017,0.012,204.0,499.0,1.01
att_str_raw[Bristol City],-0.202,0.264,-0.703,0.287,0.017,0.012,239.0,665.0,1.01
att_str_raw[Cardiff City],0.175,0.248,-0.319,0.613,0.017,0.012,205.0,543.0,1.01
att_str_raw[Coventry],-0.014,0.259,-0.5,0.445,0.017,0.012,219.0,517.0,1.01
att_str_raw[Derby],-0.246,0.265,-0.744,0.232,0.017,0.012,231.0,467.0,1.01
att_str_raw[Huddersfield Town],-0.06,0.259,-0.577,0.384,0.018,0.012,219.0,599.0,1.01
att_str_raw[Luton Town],-0.208,0.272,-0.74,0.274,0.017,0.012,251.0,721.0,1.01
att_str_raw[Middlesbrough],0.009,0.256,-0.438,0.505,0.017,0.012,224.0,497.0,1.01
att_str_raw[Millwall],-0.1,0.265,-0.6,0.383,0.017,0.012,246.0,664.0,1.01
att_str_raw[Norwich],0.35,0.245,-0.089,0.815,0.017,0.012,205.0,581.0,1.01
att_str_raw[Nottm Forest],-0.232,0.269,-0.733,0.269,0.017,0.012,237.0,579.0,1.01
att_str_raw[Preston],-0.047,0.258,-0.513,0.438,0.017,0.012,218.0,613.0,1.01
att_str_raw[QPR],0.113,0.251,-0.346,0.59,0.017,0.012,227.0,572.0,1.01
att_str_raw[Reading],0.034,0.262,-0.473,0.505,0.017,0.012,231.0,500.0,1.01
att_str_raw[Rotherham United],-0.113,0.265,-0.598,0.381,0.017,0.012,246.0,539.0,1.01
att_str_raw[Sheff Wed],-0.144,0.268,-0.615,0.375,0.017,0.012,241.0,607.0,1.01
att_str_raw[Stoke],-0.069,0.26,-0.547,0.412,0.017,0.012,234.0,461.0,1.01
att_str_raw[Swansea],-0.031,0.25,-0.505,0.44,0.017,0.012,227.0,675.0,1.01
att_str_raw[Watford],0.172,0.249,-0.283,0.639,0.017,0.012,209.0,519.0,1.01
att_str_raw[Wycombe Wanderers],-0.195,0.265,-0.723,0.281,0.017,0.012,247.0,584.0,1.01
def_str_raw[Barnsley],-0.098,0.254,-0.583,0.361,0.017,0.012,236.0,479.0,1.02
def_str_raw[Birmingham],0.16,0.242,-0.35,0.564,0.019,0.013,167.0,465.0,1.03
def_str_raw[Blackburn],0.079,0.251,-0.392,0.559,0.017,0.012,218.0,478.0,1.03
def_str_raw[Bournemouth],-0.088,0.258,-0.539,0.409,0.016,0.012,250.0,679.0,1.02
def_str_raw[Brentford],-0.265,0.267,-0.744,0.246,0.016,0.011,271.0,773.0,1.02
def_str_raw[Bristol City],0.273,0.242,-0.164,0.739,0.017,0.012,207.0,472.0,1.03
def_str_raw[Cardiff City],-0.033,0.258,-0.489,0.482,0.017,0.012,232.0,515.0,1.02
def_str_raw[Coventry],0.069,0.253,-0.428,0.522,0.019,0.014,177.0,670.0,1.03
def_str_raw[Derby],0.083,0.246,-0.364,0.55,0.018,0.013,189.0,507.0,1.03
def_str_raw[Huddersfield Town],0.278,0.241,-0.208,0.7,0.017,0.012,193.0,517.0,1.03
def_str_raw[Luton Town],0.053,0.255,-0.426,0.527,0.018,0.012,213.0,444.0,1.03
def_str_raw[Middlesbrough],0.038,0.256,-0.447,0.514,0.019,0.013,192.0,487.0,1.03
def_str_raw[Millwall],0.021,0.248,-0.437,0.511,0.017,0.012,207.0,513.0,1.03
def_str_raw[Norwich],-0.283,0.271,-0.824,0.192,0.017,0.012,264.0,604.0,1.02
def_str_raw[Nottm Forest],-0.169,0.259,-0.65,0.312,0.018,0.013,214.0,656.0,1.03
def_str_raw[Preston],0.058,0.251,-0.4,0.528,0.018,0.013,195.0,475.0,1.02
def_str_raw[QPR],0.048,0.25,-0.444,0.489,0.017,0.012,217.0,618.0,1.03
