,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
att_str_raw[Arsenal],0.217,0.265,-0.257,0.732,0.014,0.01,340.0,777.0,1.0
att_str_raw[Aston Villa],-0.08,0.275,-0.626,0.404,0.015,0.011,333.0,740.0,1.0
att_str_raw[Brentford],-0.059,0.276,-0.581,0.449,0.015,0.01,358.0,764.0,1.0
att_str_raw[Brighton],-0.118,0.275,-0.638,0.387,0.015,0.011,337.0,763.0,1.01
att_str_raw[Burnley],-0.251,0.28,-0.782,0.275,0.015,0.01,363.0,798.0,1.0
att_str_raw[Chelsea],0.235,0.266,-0.304,0.696,0.015,0.01,337.0,709.0,1.0
att_str_raw[Crystal Palace],-0.097,0.279,-0.616,0.433,0.014,0.01,369.0,903.0,1.0
att_str_raw[Everton],-0.226,0.282,-0.738,0.306,0.015,0.01,373.0,906.0,1.01
att_str_raw[Leeds],-0.163,0.289,-0.71,0.377,0.015,0.01,392.0,838.0,1.0
att_str_raw[Leicester],0.017,0.268,-0.468,0.538,0.014,0.01,346.0,871.0,1.0
att_str_raw[Liverpool],0.511,0.258,0.034,0.99,0.015,0.011,302.0,612.0,1.0
att_str_raw[Man City],0.573,0.254,0.097,1.045,0.014,0.01,311.0,590.0,1.0
att_str_raw[Man United],0.074,0.269,-0.405,0.613,0.015,0.01,341.0,796.0,1.0
att_str_raw[Newcastle],-0.166,0.286,-0.72,0.344,0.014,0.01,398.0,863.0,1.0
att_str_raw[Norwich],-0.492,0.3,-1.078,0.04,0.014,0.01,437.0,926.0,1.0
att_str_raw[Southampton],-0.073,0.275,-0.577,0.445,0.014,0.01,370.0,990.0,1.0
att_str_raw[Tottenham],0.255,0.269,-0.259,0.738,0.015,0.01,335.0,830.0,1.0
att_str_raw[Watford],-0.349,0.289,-0.904,0.175,0.015,0.01,383.0,874.0,1.0
att_str_raw[West Ham],0.06,0.273,-0.456,0.559,0.014,0.01,358.0,814.0,1.0
att_str_raw[Wolves],-0.213,0.285,-0.77,0.287,0.015,0.011,354.0,954.0,1.0
def_str_raw[Arsenal],-0.156,0.28,-0.682,0.35,0.016,0.011,307.0,740.0,1.01
def_str_raw[Aston Villa],-0.05,0.27,-0.583,0.442,0.016,0.011,294.0,631.0,1.01
def_str_raw[Brentford],-0.011,0.274,-0.501,0.53,0.016,0.011,296.0,618.0,1.02
