,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
att_str_raw[Arsenal],0.243,0.194,-0.115,0.612,0.007,0.003,757.0,1510.0,1.0
att_str_raw[Aston Villa],0.081,0.207,-0.324,0.461,0.007,0.003,889.0,1352.0,1.0
att_str_raw[Bournemouth],0.137,0.203,-0.264,0.495,0.007,0.003,874.0,1953.0,1.0
att_str_raw[Brentford],0.069,0.202,-0.316,0.449,0.007,0.003,910.0,1560.0,1.0
att_str_raw[Brighton],0.097,0.205,-0.297,0.467,0.008,0.003,694.0,1768.0,1.01
att_str_raw[Burnley],-0.359,0.237,-0.771,0.127,0.007,0.004,1099.0,1968.0,1.0
att_str_raw[Chelsea],0.156,0.198,-0.214,0.522,0.007,0.003,778.0,1928.0,1.0
att_str_raw[Crystal Palace],-0.036,0.211,-0.431,0.358,0.007,0.003,977.0,1662.0,1.0
att_str_raw[Everton],-0.036,0.208,-0.452,0.326,0.007,0.003,772.0,1436.0,1.0
att_str_raw[Fulham],-0.081,0.21,-0.468,0.312,0.007,0.003,873.0,1834.0,1.0
att_str_raw[Leeds],-0.011,0.214,-0.431,0.37,0.007,0.004,911.0,1669.0,1.0
att_str_raw[Liverpool],0.23,0.196,-0.149,0.589,0.007,0.004,809.0,1285.0,1.0
att_str_raw[Man City],0.347,0.191,-0.008,0.699,0.007,0.004,676.0,1399.0,1.01
att_str_raw[Man United],0.231,0.198,-0.119,0.621,0.007,0.003,788.0,1576.0,1.0
att_str_raw[Newcastle],0.092,0.207,-0.341,0.432,0.007,0.003,844.0,1659.0,1.0
att_str_raw[Nottm Forest],-0.055,0.21,-0.458,0.341,0.007,0.004,862.0,1745.0,1.0
att_str_raw[Sunderland],-0.254,0.227,-0.663,0.186,0.007,0.004,1099.0,1850.0,1.0
att_str_raw[Tottenham],-0.067,0.21,-0.456,0.315,0.007,0.003,863.0,1880.0,1.0
att_str_raw[West Ham],-0.069,0.21,-0.441,0.359,0.007,0.004,807.0,1625.0,1.0
att_str_raw[Wolves],-0.386,0.227,-0.807,0.045,0.007,0.004,1078.0,1664.0,1.0
def_str_raw[Arsenal],-0.511,0.236,-0.974,-0.088,0.007,0.004,1069.0,2282.0,1.0
def_str_raw[Aston Villa],0.039,0.204,-0.332,0.439,0.007,0.004,904.0,1506.0,1.0
def_str_raw[Bournemouth],0.033,0.207,-0.361,0.411,0.007,0.004,921.0,1725.0,1.0
