,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
att_str_raw[0],0.225,0.173,-0.098,0.55,0.005,0.003,1436.0,2345.0,1.0
att_str_raw[1],0.063,0.183,-0.272,0.398,0.005,0.003,1607.0,2355.0,1.0
att_str_raw[2],0.126,0.18,-0.213,0.442,0.005,0.003,1504.0,2320.0,1.0
att_str_raw[3],0.056,0.185,-0.301,0.393,0.005,0.003,1520.0,2371.0,1.0
att_str_raw[4],0.08,0.183,-0.244,0.445,0.005,0.003,1493.0,2155.0,1.0
att_str_raw[5],-0.311,0.203,-0.666,0.082,0.005,0.003,1927.0,2519.0,1.0
att_str_raw[6],0.131,0.18,-0.219,0.457,0.005,0.003,1479.0,2335.0,1.0
att_str_raw[7],-0.045,0.191,-0.398,0.316,0.005,0.003,1598.0,2744.0,1.0
att_str_raw[8],-0.037,0.191,-0.418,0.311,0.005,0.003,1534.0,2507.0,1.0
att_str_raw[9],-0.084,0.191,-0.441,0.267,0.005,0.003,1521.0,2522.0,1.0
att_str_raw[10],-0.014,0.192,-0.367,0.353,0.005,0.003,1481.0,2148.0,1.0
att_str_raw[11],0.188,0.175,-0.151,0.5,0.004,0.002,1503.0,2583.0,1.0
att_str_raw[12],0.317,0.169,-0.008,0.626,0.004,0.003,1415.0,2296.0,1.0
att_str_raw[13],0.214,0.18,-0.101,0.584,0.005,0.003,1274.0,2233.0,1.0
att_str_raw[14],0.073,0.182,-0.272,0.415,0.005,0.003,1466.0,2170.0,1.0
att_str_raw[15],-0.064,0.19,-0.404,0.301,0.005,0.003,1621.0,2392.0,1.0
att_str_raw[16],-0.219,0.202,-0.596,0.142,0.005,0.003,1779.0,2597.0,1.0
att_str_raw[17],-0.078,0.197,-0.456,0.272,0.005,0.003,1733.0,2079.0,1.0
att_str_raw[18],-0.069,0.188,-0.428,0.277,0.005,0.003,1677.0,2278.0,1.0
att_str_raw[19],-0.37,0.211,-0.797,-0.001,0.005,0.003,1790.0,2476.0,1.0
def_str_raw[0],-0.46,0.218,-0.887,-0.06,0.005,0.003,1813.0,2766.0,1.0
def_str_raw[1],0.038,0.191,-0.323,0.395,0.005,0.003,1214.0,2276.0,1.0
def_str_raw[2],0.031,0.187,-0.333,0.358,0.005,0.003,1471.0,2303.0,1.0
def_str_raw[3],-0.027,0.189,-0.367,0.333,0.005,0.003,1512.0,2456.0,1.0
def_str_raw[4],-0.113,0.195,-0.494,0.244,0.005,0.003,1412.0,2560.0,1.0
def_str_raw[5],0.286,0.172,-0.047,0.595,0.005,0.003,1217.0,1690.0,1.0
def_str_raw[6],0.023,0.187,-0.329,0.362,0.005,0.003,1338.0,1994.0,1.0
def_str_raw[7],-0.028,0.188,-0.399,0.308,0.005,0.003,1401.0,2397.0,1.0
def_str_raw[8],0.054,0.184,-0.291,0.393,0.005,0.003,1288.0,1982.0,1.0
def_str_raw[9],-0.007,0.187,-0.345,0.353,0.005,0.003,1459.0,2567.0,1.0
def_str_raw[10],0.021,0.192,-0.342,0.379,0.005,0.003,1440.0,2392.0,1.0
def_str_raw[11],-0.051,0.2,-0.416,0.341,0.005,0.003,1365.0,2209.0,1.0
def_str_raw[12],-0.145,0.193,-0.498,0.214,0.005,0.003,1587.0,2260.0,1.0
def_str_raw[13],-0.039,0.189,-0.401,0.312,0.005,0.003,1437.0,2514.0,1.0
def_str_raw[14],-0.003,0.191,-0.36,0.355,0.005,0.003,1397.0,1986.0,1.0
def_str_raw[15],0.02,0.186,-0.313,0.383,0.005,0.003,1331.0,2168.0,1.0
def_str_raw[16],0.011,0.189,-0.342,0.359,0.005,0.003,1471.0,2343.0,1.0
def_str_raw[17],0.02,0.188,-0.323,0.374,0.005,0.003,1341.0,2199.0,1.0
def_str_raw[18],0.097,0.186,-0.262,0.437,0.005,0.003,1441.0,2078.0,1.0
def_str_raw[19],0.125,0.177,-0.203,0.462,0.005,0.003,1294.0,2185.0,1.0
red_att_effect,-0.596,0.201,-0.954,-0.197,0.003,0.003,3711.0,3036.0,1.0
red_def_effect,0.553,0.195,0.194,0.923,0.003,0.003,3842.0,3058.0,1.0
home_adv,0.174,0.057,0.074,0.285,0.001,0.001,2601.0,3020.0,1.0
baseline,0.112,0.044,0.031,0.196,0.001,0.001,2452.0,2799.0,1.0
att_str[0],0.216,0.134,-0.041,0.468,0.002,0.002,6182.0,2956.0,1.0
att_str[1],0.054,0.148,-0.219,0.325,0.002,0.003,5205.0,3121.0,1.0
att_str[2],0.117,0.144,-0.141,0.393,0.002,0.002,6441.0,2925.0,1.0
att_str[3],0.046,0.152,-0.24,0.332,0.002,0.003,5249.0,2910.0,1.0
att_str[4],0.071,0.146,-0.208,0.338,0.002,0.002,5274.0,2986.0,1.0
att_str[5],-0.32,0.176,-0.656,-0.011,0.002,0.003,4994.0,2715.0,1.0
att_str[6],0.122,0.144,-0.14,0.401,0.002,0.002,6357.0,2850.0,1.0
att_str[7],-0.054,0.157,-0.345,0.246,0.002,0.003,5525.0,2892.0,1.0
att_str[8],-0.046,0.158,-0.345,0.251,0.002,0.003,5447.0,2699.0,1.0
att_str[9],-0.093,0.157,-0.385,0.209,0.002,0.003,5382.0,2850.0,1.0
att_str[10],-0.023,0.155,-0.318,0.262,0.002,0.003,5228.0,2767.0,1.0
att_str[11],0.179,0.139,-0.077,0.45,0.002,0.002,5752.0,3012.0,1.0
att_str[12],0.308,0.13,0.061,0.547,0.002,0.002,6095.0,3147.0,1.0
att_str[13],0.205,0.143,-0.053,0.488,0.002,0.003,4835.0,2742.0,1.0
att_str[14],0.064,0.146,-0.204,0.339,0.002,0.002,5350.0,2893.0,1.0
att_str[15],-0.073,0.155,-0.368,0.205,0.002,0.002,5566.0,3455.0,1.0
att_str[16],-0.228,0.17,-0.552,0.092,0.002,0.003,5281.0,2984.0,1.0
att_str[17],-0.087,0.162,-0.372,0.235,0.002,0.003,5474.0,2579.0,1.0
att_str[18],-0.079,0.154,-0.364,0.209,0.002,0.002,5622.0,3041.0,1.0
att_str[19],-0.38,0.179,-0.739,-0.07,0.003,0.003,5120.0,2584.0,1.0
def_str[0],-0.452,0.187,-0.815,-0.107,0.003,0.003,4643.0,2765.0,1.0
def_str[1],0.046,0.153,-0.259,0.318,0.002,0.003,5429.0,2763.0,1.0
def_str[2],0.039,0.151,-0.245,0.321,0.002,0.003,5777.0,3098.0,1.0
def_str[3],-0.019,0.153,-0.31,0.269,0.002,0.003,6293.0,2948.0,1.0
def_str[4],-0.106,0.161,-0.417,0.197,0.002,0.003,5587.0,3005.0,1.0
def_str[5],0.294,0.13,0.057,0.539,0.002,0.002,6549.0,3097.0,1.0
def_str[6],0.031,0.15,-0.237,0.323,0.002,0.002,5574.0,3050.0,1.0
def_str[7],-0.021,0.15,-0.297,0.26,0.002,0.002,5812.0,3086.0,1.0
def_str[8],0.061,0.145,-0.197,0.351,0.002,0.002,6204.0,3107.0,1.0
def_str[9],0.001,0.151,-0.294,0.275,0.002,0.003,5866.0,2735.0,1.0
def_str[10],0.028,0.153,-0.261,0.315,0.002,0.002,6000.0,2813.0,1.0
def_str[11],-0.043,0.16,-0.332,0.264,0.002,0.003,5358.0,2646.0,1.0
def_str[12],-0.138,0.158,-0.444,0.149,0.002,0.002,5738.0,2947.0,1.0
def_str[13],-0.031,0.15,-0.319,0.245,0.002,0.002,5633.0,3114.0,1.0
