gw,raw_rows,matches,weight_sum,kish_neff,rows_per_match,neff_per_match
6,5000,50,31.104309263728563,402.3291026551106,100.0,8.046582053102211
7,6000,60,37.61278837971876,522.736914068782,100.0,8.712281901146365
8,7000,70,44.20379314855144,614.0296063617543,100.0,8.771851519453634
9,8000,80,50.96300170796282,721.9234988500203,100.0,9.024043735625254
10,9000,90,57.80791509781508,832.1680237607176,100.0,9.246311375119085
11,10000,100,64.73962003892106,923.4903776750442,100.0,9.234903776750443
12,11000,110,71.76047849669911,1013.4505192928366,100.0,9.213186539025788
13,12000,120,78.9592170244342,1115.6979357604132,100.0,9.297482798003443
14,13000,130,86.25054357500105,1206.2697788027417,100.0,9.278998298482628
15,14000,140,93.58531079970001,1308.7742846877545,100.0,9.348387747769674
16,15000,150,100.96776260361014,1415.4520358942646,100.0,9.436346905961763
17,16000,160,108.44785958468971,1513.0264942935553,100.0,9.456415589334721
18,17000,170,116.0173500669146,1574.672586692904,100.0,9.262779921722965
19,18000,180,123.68005896133823,1689.4233003444717,100.0,9.385685001913732
20,19000,190,131.39398019239331,1801.5829084821537,100.0,9.48201530780081
21,20000,200,139.160836444494,1905.552198930112,100.0,9.52776099465056
22,21000,210,146.97537109948686,1996.4464750650423,100.0,9.5068879765002
23,22000,220,154.93757478289123,2054.5283762637696,100.0,9.338765346653497
24,23000,230,163.0036401946209,2174.7781664745244,100.0,9.45555724554141
25,24000,240,171.1719810124971,2279.723002092635,100.0,9.498845842052646
26,25000,250,179.43645067713072,2387.619532093103,100.0,9.550478128372411
27,26000,260,187.75464961251964,2494.5614377156257,100.0,9.594467068137021
28,26100,261,188.59747118599125,2505.8641066781606,100.0,9.601011902981458
29,27100,271,197.08048514185276,2617.6021299181803,100.0,9.659048449882585
30,28100,281,205.66642321381943,2750.7785019618095,100.0,9.789247337942383
31,29100,291,214.30506834749337,2813.0711077529186,100.0,9.666911023205905
32,30100,301,223.11487775430163,2881.51175537078,100.0,9.573128755384651
33,30900,309,230.24759491536526,2955.9521402220216,100.0,9.566188156058322
34,31900,319,239.51113381275394,3086.7381809478707,100.0,9.6762952380811
35,32900,329,248.89381727951712,3165.8882385911925,100.0,9.622760603620646
36,33200,332,251.7242020072087,3198.253193873782,100.0,9.633292752631874
37,33900,339,258.3698912923197,3264.0601750313044,100.0,9.628496091537771
38,34900,349,267.9920289897682,3386.2061744988773,100.0,9.702596488535464
39,35900,359,277.7361663325436,3468.332578116089,100.0,9.661093532356793
40,36000,360,278.7165610651902,3477.9878766858346,100.0,9.661077435238429
41,36800,368,286.61462397598575,3569.3550102289782,100.0,9.699334266926572
42,37000,370,288.5967047335315,3595.117373159184,100.0,9.716533440970768
