gw,team,prior_att,prior_att_sigma,posterior_att,posterior_att_sd,att_shift,att_shift_sigma,prior_def,prior_def_sigma,posterior_def,posterior_def_sd,def_shift,def_shift_sigma
6,Arsenal,0.17520000000000002,0.6,0.2256685471299087,0.37030971203355423,0.05046854712990867,0.08411424521651445,-0.32985000000000003,0.6,-0.4858746848593406,0.4203622126713618,-0.15602468485934057,-0.2600411414322343
6,Aston Villa,0.09820000000000001,0.6,-0.16509819398483172,0.41505007072452815,-0.26329819398483173,-0.4388303233080529,-0.07485,0.6,0.09972520660866258,0.385836968106416,0.17457520660866258,0.2909586776811043
6,Bournemouth,0.07720000000000002,0.6,0.004944277834036447,0.39223001018578457,-0.07225572216596357,-0.12042620360993929,0.009150000000000002,0.6,-0.16430320751297126,0.38754456679055793,-0.17345320751297125,-0.2890886791882854
6,Brentford,0.05620000000000001,0.6,-0.03331014677119632,0.4035437967185872,-0.08951014677119633,-0.14918357795199388,-0.04385,0.6,0.1575226291708078,0.3846753306593363,0.2013726291708078,0.335621048618013
6,Brighton,0.06020000000000001,0.6,0.07211883422414286,0.38708715976815833,0.011918834224142853,0.019864723706904758,0.11715,0.6,0.058986985909463927,0.38385578244505747,-0.05816301409053608,-0.09693835681756013
6,Burnley,-0.6238,0.8,-0.34868129800248554,0.4759696165566882,0.2751187019975145,0.34389837749689306,0.17315,0.8,0.23003244042554766,0.3986332054475269,0.05688244042554766,0.07110305053193457
6,Chelsea,0.1622,0.6,0.23454570421221532,0.35080903247096584,0.07234570421221531,0.12057617368702553,-0.15585000000000002,0.6,-0.06000058950063829,0.40008382263211323,0.09584941049936173,0.15974901749893622
6,Crystal Palace,0.03420000000000001,0.6,0.06661853551246567,0.3735021905670852,0.032418535512465665,0.054030892520776114,0.06215,0.6,-0.04668922132096593,0.4020086261647841,-0.10883922132096593,-0.1813987022016099
6,Everton,-0.1308,0.6,0.0008123171669384284,0.38212562763900554,0.13161231716693844,0.21935386194489742,-0.07485,0.6,-0.10073129576402039,0.39635835427357197,-0.025881295764020387,-0.04313549294003398
6,Fulham,-0.05279999999999999,0.6,-0.05636648777106806,0.38729204537597933,-0.0035664877710680706,-0.005944146285113451,-0.0038499999999999975,0.6,-0.1510734821756435,0.39716028134004866,-0.14722348217564352,-0.2453724702927392
6,Leeds,-0.1258,0.8,-0.2482361160158068,0.47568925978847776,-0.12243611601580681,-0.1530451450197585,0.17315,0.8,0.06748655951592517,0.4225217426304772,-0.10566344048407483,-0.13207930060509354
