round,matches,mae_goals,mae_xg,total_actual,total_xg,total_pred,mae_goals_roll,mae_xg_roll
6,10.0,0.8608,0.5566,3.3,2.984,2.894,,
7,10.0,0.6054,0.5753,2.5,2.487,2.8858,,
8,10.0,0.9405,0.6831,2.7,3.079,2.8052,0.8022,0.605
9,10.0,0.9154,0.6122,3.2,2.694,2.8212,0.8305,0.6068
10,10.0,0.7853,0.7459,2.7,2.503,2.8338,0.8215,0.6346
11,10.0,1.083,0.7021,3.3,2.59,2.8107,0.8659,0.6637
12,10.0,0.8154,0.6736,2.7,3.091,2.836,0.9079,0.6834
13,10.0,0.8346,0.5103,3.2,2.676,2.8351,0.8867,0.6488
14,10.0,1.1741,0.6017,3.3,2.594,2.8058,0.9384,0.6467
15,10.0,0.9429,0.57,3.0,3.054,2.8149,0.97,0.6115
16,10.0,1.0395,0.7079,3.4,2.876,2.8122,0.9613,0.6127
17,10.0,0.7697,0.4479,2.4,2.667,2.8195,0.9521,0.5676
18,10.0,0.7023,0.5665,2.2,3.071,2.7748,0.9257,0.5788
19,10.0,0.9255,0.6571,2.3,3.558,2.8003,0.876,0.5899
20,10.0,0.8539,0.5374,3.2,2.432,2.7698,0.8582,0.5834
21,10.0,0.9289,0.5483,2.9,2.996,2.7556,0.8361,0.5515
22,10.0,0.8983,0.5951,1.6,2.577,2.7912,0.8618,0.5809
23,10.0,0.8406,0.4514,3.3,2.695,2.7328,0.8894,0.5579
24,10.0,0.8923,0.49,3.3,2.747,2.7191,0.8828,0.5245
25,10.0,0.776,0.6167,2.9,3.07,2.7306,0.8672,0.5403
26,10.0,0.7001,0.6589,2.4,2.944,2.7438,0.8215,0.5624
27,1.0,0.8044,0.2506,4.0,1.89,2.3913,0.8027,0.4935
28,10.0,0.87,0.449,2.1,2.924,2.7493,0.8085,0.493
29,10.0,0.8879,0.4293,3.6,2.856,2.7528,0.8077,0.4809
30,10.0,0.8984,0.5001,2.4,2.626,2.7402,0.8322,0.4576
31,10.0,0.8757,0.4121,1.6,2.83,2.7667,0.8673,0.4082
32,8.0,0.9863,0.5267,2.75,2.8888,2.7548,0.9037,0.4634
33,10.0,0.8468,0.4806,2.7,3.166,2.7123,0.899,0.4697
34,10.0,1.0496,0.5681,2.9,2.662,2.7117,0.9314,0.4975
35,3.0,1.0043,0.5988,2.6667,2.9867,2.9697,0.9525,0.5173
36,7.0,0.9205,0.4153,2.5714,2.2314,2.6092,0.9615,0.5179
37,10.0,0.9773,0.6674,3.7,3.202,2.7291,0.9597,0.546
38,10.0,0.7816,0.5214,2.2,2.531,2.7366,0.9467,0.5542
39,1.0,1.031,0.2764,3.0,2.39,2.9427,0.9429,0.4958
40,8.0,0.918,0.6821,3.375,3.195,2.6899,0.9257,0.5125
41,2.0,0.3571,0.6308,2.5,2.815,3.0642,0.813,0.5556
42,10.0,0.8041,0.6418,2.4,3.003,2.7032,0.7784,0.5505
