team,n,sc_actual,sc_xg,sc_pred,sc_bias,sc_xg_bias,xg_luck,co_actual,co_xg,co_pred,co_bias,co_xg_bias
Man City,33,2.061,1.876,1.855,-0.206,-0.022,0.184,0.909,1.153,1.141,0.231,-0.012
Chelsea,33,1.455,1.762,1.695,0.241,-0.067,-0.308,1.424,1.413,1.322,-0.102,-0.091
Arsenal,33,1.848,1.758,1.729,-0.12,-0.029,0.091,0.758,0.759,0.862,0.104,0.103
Bournemouth,33,1.576,1.68,1.447,-0.129,-0.233,-0.104,1.485,1.612,1.442,-0.043,-0.171
Man United,33,1.909,1.673,1.613,-0.296,-0.061,0.236,1.273,1.249,1.399,0.126,0.149
Brentford,33,1.485,1.646,1.42,-0.065,-0.226,-0.161,1.273,1.442,1.329,0.056,-0.113
Liverpool,33,1.576,1.626,1.813,0.237,0.187,-0.051,1.455,1.316,1.196,-0.259,-0.12
Newcastle,33,1.515,1.592,1.443,-0.072,-0.15,-0.077,1.576,1.478,1.249,-0.327,-0.23
Leeds,33,1.364,1.515,1.319,-0.045,-0.196,-0.151,1.485,1.482,1.469,-0.015,-0.012
Crystal Palace,33,1.061,1.505,1.408,0.348,-0.097,-0.445,1.485,1.43,1.356,-0.129,-0.074
Brighton,33,1.394,1.505,1.453,0.059,-0.053,-0.112,1.152,1.279,1.358,0.207,0.079
Aston Villa,33,1.667,1.342,1.385,-0.281,0.043,0.325,1.333,1.375,1.349,0.016,-0.026
Fulham,33,1.242,1.302,1.29,0.047,-0.013,-0.06,1.394,1.402,1.362,-0.032,-0.04
Nottm Forest,33,1.303,1.248,1.239,-0.064,-0.009,0.055,1.273,1.49,1.431,0.159,-0.058
West Ham,33,1.242,1.247,1.168,-0.075,-0.079,-0.005,1.576,1.571,1.69,0.114,0.119
Everton,33,1.242,1.199,1.226,-0.016,0.027,0.043,1.364,1.497,1.375,0.012,-0.122
Tottenham,33,1.152,1.031,1.327,0.176,0.297,0.121,1.636,1.402,1.486,-0.15,0.084
Sunderland,33,1.091,1.02,0.957,-0.134,-0.063,0.071,1.333,1.483,1.457,0.123,-0.026
Wolves,33,0.727,0.943,1.015,0.288,0.073,-0.215,1.697,1.543,1.644,-0.053,0.101
Burnley,33,1.0,0.861,0.96,-0.04,0.099,0.139,2.03,1.957,1.846,-0.184,-0.111
