team,n,sc_actual,sc_pred,sc_xg,co_actual,co_pred,co_xg,sc_luck,co_luck
Arsenal,33,1.848,1.729,1.758,0.758,0.862,0.759,0.09000000000000008,-0.0010000000000000009
Aston Villa,33,1.667,1.385,1.342,1.333,1.349,1.375,0.32499999999999996,-0.04200000000000004
Bournemouth,33,1.576,1.447,1.68,1.485,1.442,1.612,-0.10399999999999987,-0.127
Brentford,33,1.485,1.42,1.646,1.273,1.329,1.442,-0.1609999999999998,-0.16900000000000004
Brighton,33,1.394,1.453,1.505,1.152,1.358,1.279,-0.11099999999999999,-0.127
Burnley,33,1.0,0.96,0.861,2.03,1.846,1.957,0.139,0.07299999999999973
Chelsea,33,1.455,1.695,1.762,1.424,1.322,1.413,-0.30699999999999994,0.010999999999999899
Crystal Palace,33,1.061,1.408,1.505,1.485,1.356,1.43,-0.44399999999999995,0.05500000000000016
Everton,33,1.242,1.226,1.199,1.364,1.375,1.497,0.04299999999999993,-0.133
Fulham,33,1.242,1.29,1.302,1.394,1.362,1.402,-0.06000000000000005,-0.008000000000000007
Leeds,33,1.364,1.319,1.515,1.485,1.469,1.482,-0.1509999999999998,0.0030000000000001137
Liverpool,33,1.576,1.813,1.626,1.455,1.196,1.316,-0.04999999999999982,0.139
Man City,33,2.061,1.855,1.876,0.909,1.141,1.153,0.18500000000000005,-0.244
Man United,33,1.909,1.613,1.673,1.273,1.399,1.249,0.236,0.0239999999999998
Newcastle,33,1.515,1.443,1.592,1.576,1.249,1.478,-0.07700000000000018,0.09800000000000009
Nottm Forest,33,1.303,1.239,1.248,1.273,1.431,1.49,0.05499999999999994,-0.21700000000000008
Sunderland,33,1.091,0.957,1.02,1.333,1.457,1.483,0.07099999999999995,-0.15000000000000013
Tottenham,33,1.152,1.327,1.031,1.636,1.486,1.402,0.121,0.23399999999999999
West Ham,33,1.242,1.168,1.247,1.576,1.69,1.571,-0.0050000000000001155,0.0050000000000001155
Wolves,33,0.727,1.015,0.943,1.697,1.644,1.543,-0.21599999999999997,0.15400000000000014
