gw,gw_start,gw_end,mae,matches,home_actual,away_actual,total_actual,home_predicted,away_predicted,total_predicted
6,2025-09-27,2025-09-29,0.8607756212235278,10,1.9,1.4,3.3,1.6222822137363733,1.271699916294849,2.8939821300312225
7,2025-10-03,2025-10-05,0.6054295651150621,10,1.7,0.8,2.5,1.5850277361785188,1.300790142531719,2.8858178787102373
8,2025-10-18,2025-10-20,0.9404791600523967,10,1.3,1.4,2.7,1.4283023807151873,1.3769421738420105,2.8052445545571976
9,2025-10-24,2025-10-26,0.9153714885490384,10,1.8,1.4,3.2,1.5850292261871473,1.236199970769055,2.8212291969562027
10,2025-11-01,2025-11-03,0.7852573655726567,10,1.9,0.8,2.7,1.4525533222855498,1.381203972475804,2.833757294761354
11,2025-11-08,2025-11-09,1.0829748703968045,10,2.5,0.8,3.3,1.5168261858740826,1.2938665287903124,2.8106927146643947
12,2025-11-22,2025-11-24,0.8153634575431095,10,1.2,1.5,2.7,1.4927499842276375,1.3432289766077714,2.8359789608354085
13,2025-11-29,2025-11-30,0.834586616793703,10,1.4,1.8,3.2,1.5437086673633014,1.2914218917657563,2.8351305591290576
14,2025-12-02,2025-12-04,1.1740613473175225,10,1.6,1.7,3.3,1.5135562441401098,1.2922310458919737,2.8057872900320833
15,2025-12-06,2025-12-08,0.9428963771151876,10,1.8,1.2,3.0,1.4981613331711674,1.3167040444806144,2.814865377651782
16,2025-12-13,2025-12-15,1.0394533957279015,10,1.9,1.5,3.4,1.5365484992967924,1.2756290675437172,2.81217756684051
17,2025-12-20,2025-12-22,0.7697465006268274,10,1.4,1.0,2.4,1.5228802134462605,1.2966146814198585,2.8194948948661187
18,2025-12-26,2025-12-28,0.7022568629502681,10,1.2,1.0,2.2,1.5218446938159773,1.2529457398938528,2.7747904337098306
19,2025-12-30,2026-01-01,0.9254637965800123,10,1.1,1.2,2.3,1.538709035199264,1.2616403627461896,2.8003493979454537
20,2026-01-03,2026-01-04,0.8538548471647317,10,1.9,1.3,3.2,1.5024368976974884,1.267347165546222,2.7697840632437107
21,2026-01-06,2026-01-08,0.9289457125746775,10,1.7,1.2,2.9,1.5097261551474632,1.2458761303902661,2.7556022855377296
22,2026-01-17,2026-01-19,0.8982958636910506,10,1.0,0.6,1.6,1.492109489115938,1.2990825178779282,2.7911920069938665
23,2026-01-24,2026-01-26,0.8405995515015505,10,1.6,1.7,3.3,1.4938211824864356,1.2390004181459364,2.732821600632372
24,2026-01-31,2026-02-02,0.8922889607124919,10,1.7,1.6,3.3,1.4544285095713314,1.26470062582993,2.7191291354012614
25,2026-02-06,2026-02-08,0.7760291667274252,10,1.4,1.5,2.9,1.4954123358494753,1.2351554166617795,2.730567752511255
26,2026-02-10,2026-02-12,0.7000850560852091,10,1.2,1.2,2.4,1.4447222301576752,1.2990528223619469,2.7437750525196223
27,2026-02-18,2026-02-18,0.8043713726174885,1,2.0,2.0,4.0,0.6716318170633379,1.719625437701685,2.391257254765023
28,2026-02-21,2026-02-23,0.8699660903260413,10,0.7,1.4,2.1,1.469321283351993,1.279998194374778,2.749319477726771
29,2026-02-27,2026-03-01,0.8879360030394373,10,2.1,1.5,3.6,1.5324105364655916,1.220401786111292,2.752812322576883
30,2026-03-03,2026-03-05,0.8984179856938141,10,1.0,1.4,2.4,1.4615088725684928,1.2786936359432592,2.740202508511752
31,2026-03-14,2026-03-16,0.8757327135680552,10,0.9,0.7,1.6,1.5201607835634579,1.2465693843087404,2.7667301678721987
32,2026-03-20,2026-03-22,0.9862827559600313,8,1.625,1.125,2.75,1.511250137595515,1.2435905240180514,2.7548406616135668
33,2026-04-10,2026-04-13,0.846826562427385,10,1.4,1.3,2.7,1.4961044054383328,1.2162255607001815,2.712329966138514
34,2026-04-18,2026-04-20,1.0496130992529893,10,1.7,1.2,2.9,1.509563375204788,1.2021517213451034,2.711715096549891
35,2026-04-21,2026-04-22,1.0042678730760917,3,1.6666666666666667,1.0,2.6666666666666665,1.3361557517537512,1.6335009509490745,2.969656702702826
36,2026-04-24,2026-04-27,0.9205167483855161,7,1.2857142857142858,1.2857142857142858,2.5714285714285716,1.43391262671344,1.1752468087021235,2.609159435415563
37,2026-05-01,2026-05-04,0.9772854307019554,10,2.4,1.3,3.7,1.5487694963605054,1.1803089949690888,2.7290784913295942
38,2026-05-09,2026-05-11,0.7816394633377789,10,1.3,0.9,2.2,1.4022774557191429,1.3343489812137708,2.736626436932913
39,2026-05-13,2026-05-13,1.031001739052037,1,3.0,0.0,3.0,1.9403610585788889,1.0023645366829628,2.9427255952618516
40,2026-05-15,2026-05-18,0.9180356430644403,8,2.0,1.375,3.375,1.5807693473625792,1.1091179988746445,2.6898873462372235
41,2026-05-19,2026-05-19,0.35710802305430206,2,1.5,1.0,2.5,1.6144712123937162,1.4497187810567569,3.064189993450473
42,2026-05-24,2026-05-24,0.8040698641303686,10,1.3,1.1,2.4,1.4069237447260923,1.296231108631403,2.7031548533574954
