Year of Promotion,Team,xG,xGA,Pos
2016-2017,Newcastle United,1.89,1.25,0.541
2016-2017,Brighton,1.48,1.39,0.51
2016-2017,Huddersfield,1.59,1.16,0.584
2017-2018,Wolves,1.51,1.18,0.543
2017-2018,Cardiff,1.53,1.19,0.429
2017-2018,Fulham,1.53,1.29,0.603
2018-2019,Norwich,1.70,1.03,0.577
2018-2019,Sheffield United,1.62,0.92,0.518
2018-2019,Aston Villa,1.60,1.25,0.537
2019-2020,Leeds,1.88,0.82,0.642
2019-2020,West Brom,1.65,1.10,0.554
2019-2020,Fulham,1.42,1.28,0.614
2020-2021,Norwich,1.67,1.13,0.607
2020-2021,Watford,1.45,0.99,0.54
2020-2021,Brentford,1.63,0.86,0.556
2021-2022,Fulham,2.07,0.94,0.608
2021-2022,Bournemouth,1.63,1.01,0.57
2021-2022,Nottingham Forest,1.49,1.18,0.504
2022-2023,Burnley,1.44,0.83,0.647
2022-2023,Sheffield United,1.56,0.96,0.513
2022-2023,Luton,1.27,0.95,0.457
2023-2024,Leicester,1.47,0.99,0.621
2023-2024,Ipswich,1.46,1.05,0.531
2023-2024,Southampton,1.52,1.02,0.66
2024-2025,Leeds,1.7,0.78,0.616
2024-2025,Burnley,1.29,0.92,0.569
2024-2025,Sunderland,1.34,1.16,0.491
