season,team_id,team,matches_played,xg,goals,xga,goals_against,possession
2020/2021,9937,Brentford,49,73.47,73,39.07,40,55.7
2020/2021,9850,Norwich,46,71.08,67,47.07,33,60.6
2020/2021,8678,Bournemouth,48,64.52,72,50.56,44,57.3
2020/2021,8655,Blackburn,46,63.61,60,50.97,50,57.5
2020/2021,9817,Watford,46,59.88,53,42.38,27,54.0
2020/2021,10172,QPR,46,57.25,52,57.55,49,52.9
2020/2021,8549,Middlesbrough,46,57.02,53,42.75,48,47.0
2020/2021,8283,Barnsley,48,54.58,52,46.41,49,47.3
2020/2021,8344,Cardiff City,46,52.94,60,51.92,48,44.6
2020/2021,8119,Rotherham United,46,51.67,39,58.0,54,44.3
2020/2021,8346,Luton Town,46,50.05,38,53.59,48,49.6
2020/2021,9798,Reading,46,50.0,56,44.75,51,52.0
2020/2021,10194,Stoke,46,49.04,49,42.95,48,49.3
2020/2021,10003,Swansea,49,48.77,52,48.72,39,50.7
2020/2021,10004,Millwall,46,47.28,43,50.33,50,45.8
2020/2021,8669,Coventry,46,46.92,46,54.94,50,47.8
2020/2021,10203,Nottm Forest,46,46.34,33,49.02,40,49.8
2020/2021,10163,Sheff Wed,46,45.85,37,54.95,56,45.7
2020/2021,10170,Derby,46,45.6,33,52.95,56,51.2
2020/2021,8411,Preston,46,45.47,44,55.04,49,48.6
2020/2021,9796,Huddersfield Town,46,44.78,50,63.6,64,56.2
2020/2021,8676,Wycombe Wanderers,46,42.24,32,68.71,62,39.2
2020/2021,8658,Birmingham,46,41.91,33,53.95,54,46.5
2020/2021,8427,Bristol City,46,38.73,45,68.82,63,45.8
2021/2022,9879,Fulham,46,84.94,100,36.17,38,60.8
2021/2022,8657,Sheff Utd,48,66.7,63,49.51,46,57.0
2021/2022,8678,Bournemouth,46,66.38,70,38.88,36,57.0
2021/2022,8659,West Brom,46,63.77,48,41.06,42,51.5
2021/2022,8669,Coventry,46,62.62,57,45.12,53,53.4
2021/2022,10203,Nottm Forest,49,62.06,70,50.06,38,50.1
2021/2022,8549,Middlesbrough,46,55.97,53,42.23,49,49.3
2021/2022,8346,Luton Town,48,54.58,60,47.52,53,44.3
2021/2022,9796,Huddersfield Town,49,51.65,64,51.27,46,48.0
2021/2022,8344,Cardiff City,46,51.57,49,52.67,66,44.9
2021/2022,8427,Bristol City,46,51.39,61,64.35,69,44.7
2021/2022,8658,Birmingham,46,50.8,47,49.1,67,43.9
2021/2022,8655,Blackburn,46,49.68,55,50.27,49,44.8
2021/2022,8411,Preston,46,48.92,48,48.56,53,49.7
2021/2022,10194,Stoke,46,48.41,54,49.35,51,52.3
2021/2022,10004,Millwall,46,48.31,50,54.67,43,46.5
2021/2022,10003,Swansea,46,48.07,57,60.54,62,63.9
2021/2022,8483,Blackpool,46,47.99,48,59.15,58,46.0
2021/2022,10172,QPR,46,47.31,57,54.53,55,54.0
2021/2022,8667,Hull,46,44.55,41,53.11,50,46.3
2021/2022,9798,Reading,46,43.18,50,67.28,83,47.5
2021/2022,8677,Peterborough United,46,40.7,38,72.66,84,47.8
2021/2022,10170,Derby,46,38.85,41,54.09,51,51.3
2021/2022,8283,Barnsley,46,36.15,31,72.4,70,44.9
2022/2023,8657,Sheff Utd,46,71.4,73,41.52,37,51.3
2022/2023,8549,Middlesbrough,48,69.89,78,47.45,55,58.2
2022/2023,8191,Burnley,46,64.63,84,36.73,33,64.7
2022/2023,8346,Luton Town,49,61.43,60,42.62,37,45.5
2022/2023,8659,West Brom,46,61.29,54,45.94,50,53.4
2022/2023,8669,Coventry,49,60.69,54,58.08,46,46.7
2022/2023,10003,Swansea,46,59.99,66,48.83,62,64.0
2022/2023,9850,Norwich,46,58.3,57,52.95,52,56.9
2022/2023,10194,Stoke,46,56.82,53,48.96,53,52.9
2022/2023,8427,Bristol City,46,56.41,53,53.57,53,49.5
2022/2023,8472,Sunderland,48,55.51,65,51.84,55,54.0
2022/2023,10004,Millwall,46,54.93,55,46.96,48,45.3
2022/2023,9817,Watford,46,54.02,54,49.7,51,52.6
2022/2023,10172,QPR,46,46.85,41,58.61,67,49.5
2022/2023,8658,Birmingham,46,46.56,43,57.78,55,41.9
2022/2023,8411,Preston,46,46.29,42,56.54,58,47.6
2022/2023,8483,Blackpool,46,46.17,45,67.87,67,42.4
2022/2023,8655,Blackburn,46,44.77,51,53.15,53,53.7
2022/2023,8667,Hull,46,44.19,48,56.68,56,50.0
2022/2023,8528,Wigan Athletic,46,43.61,35,55.11,61,47.9
2022/2023,9796,Huddersfield Town,46,42.76,46,58.79,59,41.1
2022/2023,8344,Cardiff City,45,41.83,38,52.75,55,46.4
2022/2023,8119,Rotherham United,45,38.98,45,64.98,54,42.3
2022/2023,9798,Reading,46,36.26,39,56.17,62,41.9
2023/2024,8466,Southampton,49,79.04,86,50.27,62,65.4
2023/2024,8463,Leeds,49,77.42,78,39.74,43,58.4
2023/2024,8197,Leicester,46,75.55,77,42.48,41,62.0
2023/2024,9902,Ipswich,46,72.72,90,45.14,55,53.1
2023/2024,8549,Middlesbrough,46,65.59,69,52.65,59,52.9
2023/2024,9850,Norwich,48,62.38,77,63.46,63,48.9
2023/2024,8655,Blackburn,46,61.51,60,61.08,70,51.7
2023/2024,8669,Coventry,46,60.75,67,54.9,56,51.4
2023/2024,8659,West Brom,48,59.09,66,46.91,46,51.6
2023/2024,8472,Sunderland,46,57.44,46,49.78,52,55.5
2023/2024,10003,Swansea,46,54.27,55,64.81,60,55.0
2023/2024,9817,Watford,46,52.87,60,52.29,58,52.0
2023/2024,10194,Stoke,46,52.5,48,53.71,55,50.6
2023/2024,8401,Plymouth Argyle,46,52.14,58,71.49,68,45.0
2023/2024,8667,Hull,46,52.14,64,50.59,57,55.6
2023/2024,10163,Sheff Wed,46,51.39,44,53.65,63,43.3
2023/2024,9796,Huddersfield Town,46,48.52,47,61.01,74,39.6
2023/2024,8658,Birmingham,46,47.4,48,61.21,65,43.9
2023/2024,8427,Bristol City,46,47.25,46,51.02,47,47.5
2023/2024,10004,Millwall,46,43.7,44,51.01,49,42.0
2023/2024,10172,QPR,46,43.01,46,50.57,57,46.1
2023/2024,8344,Cardiff City,46,42.74,51,67.81,68,45.5
2023/2024,8411,Preston,46,38.93,53,57.76,63,44.5
2023/2024,8119,Rotherham United,46,30.64,35,75.65,84,36.8
2024/2025,8463,Leeds,46,88.81,92,27.05,27,61.6
2024/2025,8669,Coventry,48,70.64,64,54.32,60,55.1
2024/2025,8657,Sheff Utd,49,63.77,66,43.76,34,51.1
