gross_unadjusted,team_name,season,cpi_index,deflator,gross_2025_26_terms
127000000,Manchester City,2015-2016,100.15,1.40099850224663,177926810
123200000,Manchester United,2015-2016,100.15,1.40099850224663,172603015
100000000,Chelsea,2015-2016,100.15,1.40099850224663,140099850
96700000,Arsenal,2015-2016,100.15,1.40099850224663,135476555
93600000,Liverpool,2015-2016,100.15,1.40099850224663,131133460
55400000,Everton,2015-2016,100.15,1.40099850224663,77615317
55600000,Crystal Palace,2015-2016,100.15,1.40099850224663,77895517
53400000,Tottenham,2015-2016,100.15,1.40099850224663,74813320
52800000,West Ham,2015-2016,100.15,1.40099850224663,73972721
47100000,Newcastle,2015-2016,100.15,1.40099850224663,65987029
46300000,Sunderland,2015-2016,100.15,1.40099850224663,64866231
44400000,Southampton,2015-2016,100.15,1.40099850224663,62204333
42200000,Stoke City,2015-2016,100.15,1.40099850224663,59122137
41800000,West Bromwich,2015-2016,100.15,1.40099850224663,58561737
40600000,Swansea,2015-2016,100.15,1.40099850224663,56880539
38400000,Leicester,2015-2016,100.15,1.40099850224663,53798342
37000000,Aston Villa,2015-2016,100.15,1.40099850224663,51836945
32600000,Norwich,2015-2016,100.15,1.40099850224663,45672551
31000000,Watford,2015-2016,100.15,1.40099850224663,43430954
26600000,Bournemouth,2015-2016,100.15,1.40099850224663,37266560
152200000,Manchester United,2016-2017,101.87,1.3773436733091193,209631707
135100000,Manchester City,2016-2017,101.87,1.3773436733091193,186079130
102300000,Arsenal,2016-2017,101.87,1.3773436733091193,140902258
98600000,Chelsea,2016-2017,101.87,1.3773436733091193,135806086
90500000,Liverpool,2016-2017,101.87,1.3773436733091193,124649602
72100000,Crystal Palace,2016-2017,101.87,1.3773436733091193,99306479
71200000,Tottenham,2016-2017,101.87,1.3773436733091193,98066870
67700000,Everton,2016-2017,101.87,1.3773436733091193,93246167
63400000,Leicester,2016-2017,101.87,1.3773436733091193,87323589
57200000,Southampton,2016-2017,101.87,1.3773436733091193,78784058
54900000,West Ham,2016-2017,101.87,1.3773436733091193,75616168
53600000,Stoke City,2016-2017,101.87,1.3773436733091193,73825621
47700000,Sunderland,2016-2017,101.87,1.3773436733091193,65699293
46600000,Watford,2016-2017,101.87,1.3773436733091193,64184215
42100000,Hull City,2016-2017,101.87,1.3773436733091193,57986169
41200000,West Bromwich,2016-2017,101.87,1.3773436733091193,56746559
39700000,Swansea,2016-2017,101.87,1.3773436733091193,54680544
38800000,Middlesbrough,2016-2017,101.87,1.3773436733091193,53440935
33800000,Bournemouth,2016-2017,101.87,1.3773436733091193,46554216
24600000,Burnley,2016-2017,101.87,1.3773436733091193,33882654
163000000,Manchester United,2017-2018,104.71,1.33998662973928,218417821
160800000,Arsenal,2017-2018,104.71,1.33998662973928,215469850
135600000,Manchester City,2017-2018,104.71,1.33998662973928,181702187
121600000,Chelsea,2017-2018,104.71,1.33998662973928,162942374
96500000,Liverpool,2017-2018,104.71,1.33998662973928,129308710
84300000,Everton,2017-2018,104.71,1.33998662973928,112960873
80400000,Tottenham,2017-2018,104.71,1.33998662973928,107734925
68200000,Crystal Palace,2017-2018,104.71,1.33998662973928,91387088
68000000,West Ham,2017-2018,104.71,1.33998662973928,91119091
66600000,Southampton,2017-2018,104.71,1.33998662973928,89243110
65800000,Leicester,2017-2018,104.71,1.33998662973928,88171120
58100000,West Bromwich,2017-2018,104.71,1.33998662973928,77853223
51100000,Stoke City,2017-2018,104.71,1.33998662973928,68473317
48500000,Watford,2017-2018,104.71,1.33998662973928,64989352
47700000,Swansea,2017-2018,104.71,1.33998662973928,63917362
41900000,Bournemouth,2017-2018,104.71,1.33998662973928,56145440
39100000,Brighton,2017-2018,104.71,1.33998662973928,52393477
37500000,Newcastle,2017-2018,104.71,1.33998662973928,50249499
31900000,Burnley,2017-2018,104.71,1.33998662973928,42745573
25600000,Huddersfield,2017-2018,104.71,1.33998662973928,34303658
135000000,Chelsea,2018-2019,106.95,1.311921458625526,177109397
148400000,Manchester City,2018-2019,106.95,1.311921458625526,194689144
141700000,Manchester United,2018-2019,106.95,1.311921458625526,185899271
130800000,Arsenal,2018-2019,106.95,1.311921458625526,171599327
112300000,Liverpool,2018-2019,106.95,1.311921458625526,147328780
85200000,Tottenham,2018-2019,106.95,1.311921458625526,111775708
80000000,Everton,2018-2019,106.95,1.311921458625526,104953717
81000000,West Ham,2018-2019,106.95,1.311921458625526,106265638
68200000,Leicester,2018-2019,106.95,1.311921458625526,89473043
69800000,Crystal Palace,2018-2019,106.95,1.311921458625526,91572118
60900000,Southampton,2018-2019,106.95,1.311921458625526,79896017
44400000,Bournemouth,2018-2019,106.95,1.311921458625526,58249313
48300000,Fulham,2018-2019,106.95,1.311921458625526,63365806
46100000,Watford,2018-2019,106.95,1.311921458625526,60479579
44400000,Newcastle,2018-2019,106.95,1.311921458625526,58249313
42300000,Burnley,2018-2019,106.95,1.311921458625526,55494278
39400000,Brighton,2018-2019,106.95,1.311921458625526,51689705
38300000,Wolverhampton,2018-2019,106.95,1.311921458625526,50246592
31400000,Huddersfield,2018-2019,106.95,1.311921458625526,41194334
30800000,Cardiff,2018-2019,106.95,1.311921458625526,40407181
152400000,Manchester United,2019-2020,108.46,1.293656647612023,197153273
153000000,Manchester City,2019-2020,108.46,1.293656647612023,197929467
128400000,Chelsea,2019-2020,108.46,1.293656647612023,166105514
