gross_unadjusted,team_name,season
127000000,Manchester City,2015-2016
123200000,Manchester United,2015-2016
100000000,Chelsea,2015-2016
96700000,Arsenal,2015-2016
93600000,Liverpool,2015-2016
55400000,Everton,2015-2016
55600000,Crystal Palace,2015-2016
53400000,Tottenham,2015-2016
52800000,West Ham,2015-2016
47100000,Newcastle,2015-2016
46300000,Sunderland,2015-2016
44400000,Southampton,2015-2016
42200000,Stoke City,2015-2016
41800000,West Bromwich,2015-2016
40600000,Swansea,2015-2016
38400000,Leicester,2015-2016
37000000,Aston Villa,2015-2016
32600000,Norwich,2015-2016
31000000,Watford,2015-2016
26600000,Bournemouth,2015-2016
152200000,Manchester United,2016-2017
135100000,Manchester City,2016-2017
102300000,Arsenal,2016-2017
98600000,Chelsea,2016-2017
90500000,Liverpool,2016-2017
72100000,Crystal Palace,2016-2017
71200000,Tottenham,2016-2017
67700000,Everton,2016-2017
63400000,Leicester,2016-2017
57200000,Southampton,2016-2017
54900000,West Ham,2016-2017
53600000,Stoke City,2016-2017
47700000,Sunderland,2016-2017
46600000,Watford,2016-2017
42100000,Hull City,2016-2017
41200000,West Bromwich,2016-2017
39700000,Swansea,2016-2017
38800000,Middlesbrough,2016-2017
33800000,Bournemouth,2016-2017
24600000,Burnley,2016-2017
163000000,Manchester United,2017-2018
160800000,Arsenal,2017-2018
135600000,Manchester City,2017-2018
121600000,Chelsea,2017-2018
96500000,Liverpool,2017-2018
84300000,Everton,2017-2018
80400000,Tottenham,2017-2018
68200000,Crystal Palace,2017-2018
68000000,West Ham,2017-2018
66600000,Southampton,2017-2018
65800000,Leicester,2017-2018
58100000,West Bromwich,2017-2018
51100000,Stoke City,2017-2018
48500000,Watford,2017-2018
47700000,Swansea,2017-2018
41900000,Bournemouth,2017-2018
39100000,Brighton,2017-2018
37500000,Newcastle,2017-2018
31900000,Burnley,2017-2018
25600000,Huddersfield,2017-2018
135000000,Chelsea,2018-2019
148400000,Manchester City,2018-2019
141700000,Manchester United,2018-2019
130800000,Arsenal,2018-2019
112300000,Liverpool,2018-2019
85200000,Tottenham,2018-2019
80000000,Everton,2018-2019
81000000,West Ham,2018-2019
68200000,Leicester,2018-2019
69800000,Crystal Palace,2018-2019
60900000,Southampton,2018-2019
44400000,Bournemouth,2018-2019
48300000,Fulham,2018-2019
46100000,Watford,2018-2019
44400000,Newcastle,2018-2019
42300000,Burnley,2018-2019
39400000,Brighton,2018-2019
38300000,Wolverhampton,2018-2019
31400000,Huddersfield,2018-2019
30800000,Cardiff,2018-2019
152400000,Manchester United,2019-2020
153000000,Manchester City,2019-2020
128400000,Chelsea,2019-2020
118300000,Arsenal,2019-2020
115700000,Liverpool,2019-2020
98300000,Tottenham,2019-2020
88200000,Everton,2019-2020
75500000,West Ham,2019-2020
70500000,Crystal Palace,2019-2020
66400000,Leicester,2019-2020
63500000,Newcastle,2019-2020
52500000,Watford,2019-2020
49700000,Southampton,2019-2020
46700000,Aston Villa,2019-2020
43500000,Wolverhampton,2019-2020
41200000,Brighton,2019-2020
45200000,Bournemouth,2019-2020
41000000,Burnley,2019-2020
21600000,Norwich,2019-2020
21400000,Sheffield United,2019-2020
176000000,Manchester United,2020-2021
152400000,Chelsea,2020-2021
115000000,Arsenal,2020-2021
142600000,Manchester City,2020-2021
130800000,Tottenham,2020-2021
127300000,Liverpool,2020-2021
90300000,Everton,2020-2021
