season,team_id,team,matches_played,xg,goals,xga,goals_against,possession
2020/2021,8650,Liverpool,38,63.55,62,37.29,38,62.3
2020/2021,8456,Man City,38,61.81,78,23.1,24,63.7
2020/2021,8455,Chelsea,38,54.99,50,27.23,33,61.5
2020/2021,8654,West Ham,38,53.49,60,45.34,44,42.8
2020/2021,8463,Leeds,38,53.2,58,51.58,46,57.6
2020/2021,10260,Man United,38,52.21,63,38.76,40,55.9
2020/2021,8586,Tottenham,38,49.8,63,42.15,35,51.7
2020/2021,10252,Aston Villa,38,49.04,50,47.07,41,48.3
2020/2021,9825,Arsenal,38,47.48,49,40.97,37,53.7
2020/2021,8197,Leicester,38,46.62,58,43.51,46,54.5
2020/2021,10204,Brighton,38,44.55,34,30.33,40,51.2
2020/2021,8668,Everton,38,42.45,43,47.52,45,46.5
2020/2021,10261,Newcastle,38,38.86,40,54.78,58,38.4
2020/2021,8191,Burnley,38,37.59,30,53.33,52,41.8
2020/2021,8466,Southampton,38,37.03,42,46.3,60,52.1
2020/2021,9879,Fulham,38,36.22,24,47.96,46,49.8
2020/2021,8602,Wolves,38,33.7,32,43.48,45,49.3
2020/2021,8659,West Brom,38,32.97,31,60.37,69,37.6
2020/2021,9826,Crystal Palace,38,31.36,38,56.22,63,40.1
2020/2021,8657,Sheff Utd,38,30.08,17,59.71,60,41.4
2021/2022,8650,Liverpool,38,85.74,87,34.26,26,63.1
2021/2022,8456,Man City,38,83.42,92,23.96,25,68.3
2021/2022,8586,Tottenham,38,58.15,64,39.01,38,51.8
2021/2022,8455,Chelsea,38,58.14,68,29.82,27,62.3
2021/2022,9825,Arsenal,38,57.83,56,41.47,43,53.1
2021/2022,10260,Man United,38,52.22,54,50.88,54,52.8
2021/2022,8654,West Ham,38,47.32,56,49.78,49,47.8
2021/2022,8197,Leicester,38,46.68,60,53.91,52,52.2
2021/2022,9937,Brentford,38,44.31,42,46.04,51,44.5
2021/2022,10252,Aston Villa,38,43.25,49,44.94,50,46.4
2021/2022,8466,Southampton,38,42.4,39,59.78,65,47.7
2021/2022,10204,Brighton,38,42.24,38,42.01,41,54.6
2021/2022,9826,Crystal Palace,38,41.6,44,38.07,43,51.1
2021/2022,8463,Leeds,38,41.31,37,65.48,74,52.5
2021/2022,9817,Watford,38,39.73,33,60.07,71,40.3
2021/2022,8191,Burnley,38,39.35,33,54.63,48,39.8
2021/2022,8602,Wolves,38,38.33,37,52.92,34,49.5
2021/2022,8668,Everton,38,37.33,37,56.88,64,39.7
2021/2022,10261,Newcastle,38,36.22,41,54.43,57,40.0
2021/2022,9850,Norwich,38,30.98,20,68.21,75,42.5
2022/2023,8456,Man City,38,73.32,85,30.93,30,65.1
2022/2023,9825,Arsenal,38,70.21,85,38.52,40,59.7
