division,season,home_team,away_team,home_goals,away_goals
Premier_League,1993-1994,Arsenal,Coventry,0.0,3.0
Premier_League,1993-1994,Aston Villa,QPR,4.0,1.0
Premier_League,1993-1994,Chelsea,Blackburn,1.0,2.0
Premier_League,1993-1994,Liverpool,Sheffield Weds,2.0,0.0
Premier_League,1993-1994,Man City,Leeds,1.0,1.0
Premier_League,1993-1994,Newcastle,Tottenham,0.0,1.0
Premier_League,1993-1994,Oldham,Ipswich,0.0,3.0
Premier_League,1993-1994,Sheffield United,Swindon,3.0,1.0
Premier_League,1993-1994,Southampton,Everton,0.0,2.0
Premier_League,1993-1994,West Ham,Wimbledon,0.0,2.0
Premier_League,1993-1994,Norwich,Man United,0.0,2.0
Premier_League,1993-1994,Tottenham,Arsenal,0.0,1.0
Premier_League,1993-1994,Everton,Man City,1.0,0.0
Premier_League,1993-1994,Ipswich,Southampton,1.0,0.0
Premier_League,1993-1994,Leeds,West Ham,1.0,0.0
Premier_League,1993-1994,Wimbledon,Chelsea,1.0,1.0
Premier_League,1993-1994,Blackburn,Norwich,2.0,3.0
Premier_League,1993-1994,Coventry,Newcastle,2.0,1.0
Premier_League,1993-1994,Man United,Sheffield United,3.0,0.0
Premier_League,1993-1994,QPR,Liverpool,1.0,3.0
Premier_League,1993-1994,Sheffield Weds,Aston Villa,0.0,0.0
Premier_League,1993-1994,Swindon,Oldham,0.0,1.0
Premier_League,1993-1994,Blackburn,Oldham,1.0,0.0
Premier_League,1993-1994,Coventry,West Ham,1.0,1.0
Premier_League,1993-1994,Everton,Sheffield United,4.0,2.0
Premier_League,1993-1994,Ipswich,Chelsea,1.0,0.0
Premier_League,1993-1994,Leeds,Norwich,0.0,4.0
Premier_League,1993-1994,Man United,Newcastle,1.0,1.0
Premier_League,1993-1994,QPR,Southampton,2.0,1.0
Premier_League,1993-1994,Sheffield Weds,Arsenal,0.0,1.0
Premier_League,1993-1994,Tottenham,Man City,1.0,0.0
Premier_League,1993-1994,Wimbledon,Aston Villa,2.0,2.0
Premier_League,1993-1994,Swindon,Liverpool,0.0,5.0
Premier_League,1993-1994,Aston Villa,Man United,1.0,2.0
