team,season,squad_value_eur,n_players
Arsenal,2015-2016,457850000.0,38
Arsenal,2016-2017,542000000.0,37
Arsenal,2017-2018,694000000.0,37
Arsenal,2018-2019,659050000.0,35
Arsenal,2019-2020,607650000.0,31
Arsenal,2020-2021,619250000.0,37
Arsenal,2021-2022,613050000.0,36
Arsenal,2022-2023,1000700000.0,37
Arsenal,2023-2024,1203050000.0,40
Arsenal,2024-2025,1158450000.0,35
Arsenal,2025-2026,1326125000.0,34
Arsenal,2026-2027,1406500000.0,29
Aston Villa,2015-2016,117950000.0,34
Aston Villa,2019-2020,231700000.0,35
Aston Villa,2020-2021,430700000.0,49
Aston Villa,2021-2022,487750000.0,41
Aston Villa,2022-2023,509550000.0,37
Aston Villa,2023-2024,709650000.0,41
Aston Villa,2024-2025,680550000.0,34
Aston Villa,2025-2026,613975000.0,38
Aston Villa,2026-2027,499300000.0,25
Bournemouth,2015-2016,99900000.0,39
Bournemouth,2016-2017,131600000.0,32
Bournemouth,2017-2018,144500000.0,30
Bournemouth,2018-2019,310000000.0,34
Bournemouth,2019-2020,272175000.0,32
Bournemouth,2022-2023,287200000.0,40
Bournemouth,2023-2024,401750000.0,38
Bournemouth,2024-2025,518600000.0,38
Bournemouth,2025-2026,680975000.0,36
Bournemouth,2026-2027,565875000.0,30
Brentford,2021-2022,273300000.0,35
Brentford,2022-2023,371200000.0,35
Brentford,2023-2024,428775000.0,41
Brentford,2024-2025,427850000.0,34
Brentford,2025-2026,503575000.0,34
Brentford,2026-2027,565300000.0,31
Brighton,2017-2018,148200000.0,34
Brighton,2018-2019,194350000.0,34
Brighton,2019-2020,200775000.0,34
Brighton,2020-2021,290400000.0,43
Brighton,2021-2022,318000000.0,41
Brighton,2022-2023,529800000.0,40
Brighton,2023-2024,524400000.0,48
Brighton,2024-2025,667575000.0,46
Brighton,2025-2026,625000000.0,41
Brighton,2026-2027,619500000.0,30
Burnley,2016-2017,107175000.0,34
Burnley,2017-2018,169300000.0,29
Burnley,2018-2019,197250000.0,28
Burnley,2019-2020,163875000.0,27
Burnley,2020-2021,132300000.0,31
Burnley,2021-2022,137850000.0,29
Burnley,2023-2024,273475000.0,39
Burnley,2025-2026,236000000.0,35
Cardiff,2018-2019,113000000.0,31
Chelsea,2015-2016,553500000.0,34
Chelsea,2016-2017,686700000.0,49
Chelsea,2017-2018,884250000.0,42
Chelsea,2018-2019,1166650000.0,49
Chelsea,2019-2020,705850000.0,31
Chelsea,2020-2021,889200000.0,37
Chelsea,2021-2022,914500000.0,40
Chelsea,2022-2023,994950000.0,41
Chelsea,2023-2024,1013650000.0,50
Chelsea,2024-2025,1193950000.0,49
Chelsea,2025-2026,1152000000.0,34
Chelsea,2026-2027,1361700000.0,38
Coventry,2026-2027,265350000.0,28
Crystal Palace,2015-2016,135700000.0,33
Crystal Palace,2016-2017,228425000.0,38
Crystal Palace,2017-2018,220725000.0,36
Crystal Palace,2018-2019,289000000.0,31
Crystal Palace,2019-2020,189325000.0,26
Crystal Palace,2020-2021,193850000.0,34
Crystal Palace,2021-2022,271050000.0,30
Crystal Palace,2022-2023,323050000.0,37
Crystal Palace,2023-2024,446575000.0,38
Crystal Palace,2024-2025,526850000.0,39
Crystal Palace,2025-2026,702500000.0,36
Crystal Palace,2026-2027,539400000.0,29
Everton,2015-2016,249850000.0,33
Everton,2016-2017,311250000.0,37
Everton,2017-2018,381250000.0,39
Everton,2018-2019,529100000.0,40
Everton,2019-2020,420550000.0,32
Everton,2020-2021,511200000.0,37
Everton,2021-2022,479050000.0,36
Everton,2022-2023,413150000.0,38
Everton,2023-2024,391750000.0,32
