team,season,squad_value_eur,n_players,cpi_index,deflator,squad_value_2025_26_terms
Arsenal,2015-2016,457850000.0,38,100.15,1.40099850224663,641447164
Arsenal,2016-2017,542000000.0,37,101.87,1.3773436733091193,746520271
Arsenal,2017-2018,694000000.0,37,104.71,1.33998662973928,929950721
Arsenal,2018-2019,659050000.0,35,106.95,1.311921458625526,864621837
Arsenal,2019-2020,607650000.0,31,108.46,1.293656647612023,786090462
Arsenal,2020-2021,619250000.0,37,109.33,1.2833622976310253,794722103
Arsenal,2021-2022,613050000.0,36,115.63,1.2134394188359423,743899036
Arsenal,2022-2023,1000700000.0,37,127.19000000000001,1.1031527635820426,1103924971
Arsenal,2023-2024,1203050000.0,40,132.34,1.0602236663140396,1275502082
Arsenal,2024-2025,1158450000.0,35,135.87,1.0326782954294547,1196306171
Arsenal,2025-2026,1326125000.0,34,140.31,1.0,1326125000
Arsenal,2026-2027,1328000000.0,24,142.4,0.9853230337078651,1308508989
Aston Villa,2015-2016,117950000.0,34,100.15,1.40099850224663,165247773
Aston Villa,2019-2020,231700000.0,35,108.46,1.293656647612023,299740245
Aston Villa,2020-2021,430700000.0,49,109.33,1.2833622976310253,552744142
Aston Villa,2021-2022,487750000.0,41,115.63,1.2134394188359423,591855077
Aston Villa,2022-2023,509550000.0,37,127.19000000000001,1.1031527635820426,562111491
Aston Villa,2023-2024,709650000.0,41,132.34,1.0602236663140396,752387725
Aston Villa,2024-2025,680550000.0,34,135.87,1.0326782954294547,702789214
Aston Villa,2025-2026,613975000.0,38,140.31,1.0,613975000
Aston Villa,2026-2027,572300000.0,27,142.4,0.9853230337078651,563900372
Bournemouth,2015-2016,99900000.0,39,100.15,1.40099850224663,139959750
Bournemouth,2016-2017,131600000.0,32,101.87,1.3773436733091193,181258427
Bournemouth,2017-2018,144500000.0,30,104.71,1.33998662973928,193628068
Bournemouth,2018-2019,310000000.0,34,106.95,1.311921458625526,406695652
Bournemouth,2019-2020,272175000.0,32,108.46,1.293656647612023,352100998
Bournemouth,2022-2023,287200000.0,40,127.19000000000001,1.1031527635820426,316825474
Bournemouth,2023-2024,401750000.0,38,132.34,1.0602236663140396,425944858
Bournemouth,2024-2025,518600000.0,38,135.87,1.0326782954294547,535546964
Bournemouth,2025-2026,680975000.0,36,140.31,1.0,680975000
Bournemouth,2026-2027,574550000.0,29,142.4,0.9853230337078651,566117349
Brentford,2021-2022,273300000.0,35,115.63,1.2134394188359423,331632993
Brentford,2022-2023,371200000.0,35,127.19000000000001,1.1031527635820426,409490306
Brentford,2023-2024,428775000.0,41,132.34,1.0602236663140396,454597403
Brentford,2024-2025,427850000.0,34,135.87,1.0326782954294547,441831409
Brentford,2025-2026,503575000.0,34,140.31,1.0,503575000
Brentford,2026-2027,584800000.0,29,142.4,0.9853230337078651,576216910
Brighton,2017-2018,148200000.0,34,104.71,1.33998662973928,198586019
Brighton,2018-2019,194350000.0,34,106.95,1.311921458625526,254971935
Brighton,2019-2020,200775000.0,34,108.46,1.293656647612023,259733913
Brighton,2020-2021,290400000.0,43,109.33,1.2833622976310253,372688411
Brighton,2021-2022,318000000.0,41,115.63,1.2134394188359423,385873735
Brighton,2022-2023,529800000.0,40,127.19000000000001,1.1031527635820426,584450334
Brighton,2023-2024,524400000.0,48,132.34,1.0602236663140396,555981291
Brighton,2024-2025,667575000.0,46,135.87,1.0326782954294547,689390213
Brighton,2025-2026,625000000.0,41,140.31,1.0,625000000
Brighton,2026-2027,603500000.0,30,142.4,0.9853230337078651,594642451
Burnley,2016-2017,107175000.0,34,101.87,1.3773436733091193,147616808
Burnley,2017-2018,169300000.0,29,104.71,1.33998662973928,226859736
Burnley,2018-2019,197250000.0,28,106.95,1.311921458625526,258776508
Burnley,2019-2020,163875000.0,27,108.46,1.293656647612023,211997983
Burnley,2020-2021,132300000.0,31,109.33,1.2833622976310253,169788832
Burnley,2021-2022,137850000.0,29,115.63,1.2134394188359423,167272624
Burnley,2023-2024,273475000.0,39,132.34,1.0602236663140396,289944667
Burnley,2025-2026,236000000.0,35,140.31,1.0,236000000
Cardiff,2018-2019,113000000.0,31,106.95,1.311921458625526,148247125
Chelsea,2015-2016,553500000.0,34,100.15,1.40099850224663,775452671
Chelsea,2016-2017,686700000.0,49,101.87,1.3773436733091193,945821900
Chelsea,2017-2018,884250000.0,42,104.71,1.33998662973928,1184883177
Chelsea,2018-2019,1166650000.0,49,106.95,1.311921458625526,1530553170
Chelsea,2019-2020,705850000.0,31,108.46,1.293656647612023,913127545
Chelsea,2020-2021,889200000.0,37,109.33,1.2833622976310253,1141165755
Chelsea,2021-2022,914500000.0,40,115.63,1.2134394188359423,1109690349
Chelsea,2022-2023,994950000.0,41,127.19000000000001,1.1031527635820426,1097581842
Chelsea,2023-2024,1013650000.0,50,132.34,1.0602236663140396,1074695719
Chelsea,2024-2025,1193950000.0,49,135.87,1.0326782954294547,1232966251
Chelsea,2025-2026,1152000000.0,34,140.31,1.0,1152000000
Chelsea,2026-2027,1084700000.0,28,142.4,0.9853230337078651,1068779895
Coventry,2026-2027,278700000.0,28,142.4,0.9853230337078651,274609529
Crystal Palace,2015-2016,135700000.0,33,100.15,1.40099850224663,190115497
Crystal Palace,2016-2017,228425000.0,38,101.87,1.3773436733091193,314619729
Crystal Palace,2017-2018,220725000.0,36,104.71,1.33998662973928,295768549
Crystal Palace,2018-2019,289000000.0,31,106.95,1.311921458625526,379145302
Crystal Palace,2019-2020,189325000.0,26,108.46,1.293656647612023,244921545
Crystal Palace,2020-2021,193850000.0,34,109.33,1.2833622976310253,248779781
Crystal Palace,2021-2022,271050000.0,30,115.63,1.2134394188359423,328902754
Crystal Palace,2022-2023,323050000.0,37,127.19000000000001,1.1031527635820426,356373500
Crystal Palace,2023-2024,446575000.0,38,132.34,1.0602236663140396,473469384
Crystal Palace,2024-2025,526850000.0,39,135.87,1.0326782954294547,544066560
Crystal Palace,2025-2026,702500000.0,36,140.31,1.0,702500000
Crystal Palace,2026-2027,591200000.0,30,142.4,0.9853230337078651,582522978
Everton,2015-2016,249850000.0,33,100.15,1.40099850224663,350039476
Everton,2016-2017,311250000.0,37,101.87,1.3773436733091193,428698218
Everton,2017-2018,381250000.0,39,104.71,1.33998662973928,510869903
Everton,2018-2019,529100000.0,40,106.95,1.311921458625526,694137644
Everton,2019-2020,420550000.0,32,108.46,1.293656647612023,544047303
Everton,2020-2021,511200000.0,37,109.33,1.2833622976310253,656054807
Everton,2021-2022,479050000.0,36,115.63,1.2134394188359423,581298154
Everton,2022-2023,413150000.0,38,127.19000000000001,1.1031527635820426,455767564
Everton,2023-2024,391750000.0,32,132.34,1.0602236663140396,415342621
Everton,2024-2025,363225000.0,32,135.87,1.0326782954294547,375094574
Everton,2025-2026,459250000.0,31,140.31,1.0,459250000
Everton,2026-2027,394100000.0,21,142.4,0.9853230337078651,388315808
Fulham,2018-2019,254250000.0,30,106.95,1.311921458625526,333556031
Fulham,2020-2021,239750000.0,38,109.33,1.2833622976310253,307686111
Fulham,2022-2023,295100000.0,44,127.19000000000001,1.1031527635820426,325540381
Fulham,2023-2024,384350000.0,35,132.34,1.0602236663140396,407496966
Fulham,2024-2025,362350000.0,27,135.87,1.0326782954294547,374190980
Fulham,2025-2026,376200000.0,27,140.31,1.0,376200000
Fulham,2026-2027,401800000.0,26,142.4,0.9853230337078651,395902795
Huddersfield,2017-2018,106050000.0,34,104.71,1.33998662973928,142105582
Huddersfield,2018-2019,137450000.0,30,106.95,1.311921458625526,180323604
Hull,2016-2017,135850000.0,35,101.87,1.3773436733091193,187112138
Hull,2026-2027,252900000.0,34,142.4,0.9853230337078651,249188195
Ipswich,2024-2025,270100000.0,33,135.87,1.0326782954294547,278926408
Ipswich,2026-2027,330550000.0,28,142.4,0.9853230337078651,325698529
Leeds,2020-2021,238100000.0,37,109.33,1.2833622976310253,305568563
Leeds,2021-2022,299450000.0,32,115.63,1.2134394188359423,363364434
Leeds,2022-2023,345150000.0,40,127.19000000000001,1.1031527635820426,380753176
Leeds,2025-2026,374200000.0,30,140.31,1.0,374200000
Leeds,2026-2027,407550000.0,24,142.4,0.9853230337078651,401568402
Leicester,2015-2016,161100000.0,31,100.15,1.40099850224663,225700859
Leicester,2016-2017,218650000.0,30,101.87,1.3773436733091193,301156194
Leicester,2017-2018,304250000.0,31,104.71,1.33998662973928,407690932
Leicester,2018-2019,434100000.0,36,106.95,1.311921458625526,569505105
Leicester,2019-2020,411100000.0,29,108.46,1.293656647612023,531822248
Leicester,2020-2021,510600000.0,32,109.33,1.2833622976310253,655284789
Leicester,2021-2022,526550000.0,33,115.63,1.2134394188359423,638936526
Leicester,2022-2023,490700000.0,35,127.19000000000001,1.1031527635820426,541317061
Leicester,2024-2025,253350000.0,36,135.87,1.0326782954294547,261629046
Liverpool,2015-2016,375250000.0,39,100.15,1.40099850224663,525724688
Liverpool,2016-2017,425650000.0,36,101.87,1.3773436733091193,586266335
Liverpool,2017-2018,857500000.0,33,104.71,1.33998662973928,1149038535
Liverpool,2018-2019,1172400000.0,33,106.95,1.311921458625526,1538096718
Liverpool,2019-2020,1002650000.0,39,108.46,1.293656647612023,1297084838
Liverpool,2020-2021,969650000.0,38,109.33,1.2833622976310253,1244412252
Liverpool,2021-2022,918900000.0,42,115.63,1.2134394188359423,1115029482
Liverpool,2022-2023,811850000.0,36,127.19000000000001,1.1031527635820426,895594571
Liverpool,2023-2024,955650000.0,44,132.34,1.0602236663140396,1013202747
Liverpool,2024-2025,950950000.0,30,135.87,1.0326782954294547,982025425
Liverpool,2025-2026,980500000.0,37,140.31,1.0,980500000
Liverpool,2026-2027,1029000000.0,27,142.4,0.9853230337078651,1013897402
Luton,2023-2024,140900000.0,40,132.34,1.0602236663140396,149385515
Man City,2015-2016,499350000.0,28,100.15,1.40099850224663,699588602
Man City,2016-2017,576500000.0,33,101.87,1.3773436733091193,794038628
Man City,2017-2018,1009000000.0,29,104.71,1.33998662973928,1352046509
Man City,2018-2019,1203450000.0,37,106.95,1.311921458625526,1578831879
Man City,2019-2020,1048675000.0,32,108.46,1.293656647612023,1356625385
Man City,2020-2021,1044500000.0,34,109.33,1.2833622976310253,1340471920
Man City,2021-2022,1003700000.0,35,115.63,1.2134394188359423,1217929145
Man City,2022-2023,1145950000.0,31,127.19000000000001,1.1031527635820426,1264157909
Man City,2023-2024,1462500000.0,36,132.34,1.0602236663140396,1550577112
Man City,2024-2025,1358000000.0,40,135.87,1.0326782954294547,1402377125
Man City,2025-2026,1390600000.0,36,140.31,1.0,1390600000
Man City,2026-2027,1434800000.0,25,142.4,0.9853230337078651,1413741489
Man United,2015-2016,439850000.0,34,100.15,1.40099850224663,616229191
Man United,2016-2017,531450000.0,35,101.87,1.3773436733091193,731989295
Man United,2017-2018,849500000.0,33,104.71,1.33998662973928,1138318642
Man United,2018-2019,797600000.0,31,106.95,1.311921458625526,1046388555
Man United,2019-2020,670450000.0,39,108.46,1.293656647612023,867332099
Man United,2020-2021,770050000.0,39,109.33,1.2833622976310253,988253137
