team,season,n_players,avg_age,squad_value_2025_26_terms,squad_value_age_adjusted_2025_26_terms
Arsenal,2015-2016,38,25.1,641447164,1014058946
Arsenal,2016-2017,37,25.5,746520271,1095677358
Arsenal,2017-2018,37,26.0,929950721,1289904327
Arsenal,2018-2019,35,26.0,864621837,1604364649
Arsenal,2019-2020,31,25.4,786090462,1800924606
Arsenal,2020-2021,37,25.0,794722103,1891506928
Arsenal,2021-2022,36,24.1,743899036,1516156706
Arsenal,2022-2023,37,24.1,1103924971,1825302963
Arsenal,2023-2024,40,24.1,1275502082,1979831330
Arsenal,2024-2025,35,25.0,1196306171,2644254680
Arsenal,2025-2026,34,24.3,1326125000,3425353633
Arsenal,2026-2027,29,25.4,1385856847,3220852764
Aston Villa,2015-2016,34,26.2,165247773,286807309
Aston Villa,2019-2020,35,26.3,299740245,451771683
Aston Villa,2020-2021,49,23.8,552744142,771307215
Aston Villa,2021-2022,41,24.6,591855077,898280731
Aston Villa,2022-2023,37,26.0,562111491,858852089
Aston Villa,2023-2024,41,25.0,752387725,1083799236
Aston Villa,2024-2025,34,25.9,702789214,1081648451
Aston Villa,2025-2026,38,25.4,613975000,914685970
Aston Villa,2026-2027,26,26.4,543208588,1229278246
Bournemouth,2015-2016,39,26.6,139959750,255080996
Bournemouth,2016-2017,32,25.8,181258427,323401562
Bournemouth,2017-2018,30,27.0,193628068,396907427
Bournemouth,2018-2019,34,26.2,406695652,828598488
Bournemouth,2019-2020,32,26.1,352100998,678444272
Bournemouth,2022-2023,40,25.4,316825474,520016223
Bournemouth,2023-2024,38,25.7,425944858,721368170
Bournemouth,2024-2025,38,24.3,535546964,1052354119
Bournemouth,2025-2026,36,24.9,680975000,1679346539
Bournemouth,2026-2027,30,24.8,557569672,1377959708
Brentford,2021-2022,35,24.7,331632993,450928458
Brentford,2022-2023,35,25.0,409490306,618820656
Brentford,2023-2024,41,24.7,454597403,692170371
Brentford,2024-2025,34,24.4,441831409,765743231
Brentford,2025-2026,34,24.6,503575000,849217603
Brentford,2026-2027,30,24.7,553554480,903276047
Brighton,2017-2018,34,27.9,198586019,296221246
Brighton,2018-2019,34,26.9,254971935,431058081
Brighton,2019-2020,34,26.4,259733913,416140568
Brighton,2020-2021,43,24.6,372688411,670180952
Brighton,2021-2022,41,24.2,385873735,643224004
Brighton,2022-2023,40,23.8,584450334,1692792963
Brighton,2023-2024,48,23.8,555981291,1724044232
Brighton,2024-2025,46,24.1,689390213,1664084467
Brighton,2025-2026,41,25.0,625000000,1553171925
Brighton,2026-2027,31,24.7,627158111,1690333445
Burnley,2016-2017,34,27.0,147616808,198895704
Burnley,2017-2018,29,28.1,226859736,291174508
Burnley,2018-2019,28,29.0,258776508,505052658
Burnley,2019-2020,27,28.3,211997983,351587501
Burnley,2020-2021,31,26.8,169788832,282528472
Burnley,2021-2022,29,29.1,167272624,283381138
Burnley,2023-2024,39,24.7,289944667,585875579
Burnley,2025-2026,35,26.8,236000000,360282354
Cardiff,2018-2019,31,28.1,148247125,180474901
Chelsea,2015-2016,34,25.7,775452671,1112738832
Chelsea,2016-2017,49,24.8,945821900,1334697837
Chelsea,2017-2018,42,25.3,1184883177,1749909506
Chelsea,2018-2019,49,26.3,1530553170,2915291309
Chelsea,2019-2020,31,25.1,913127545,1858461139
Chelsea,2020-2021,37,25.5,1141165755,2069471180
Chelsea,2021-2022,40,25.8,1109690349,1678678068
Chelsea,2022-2023,41,24.9,1097581842,2274047832
Chelsea,2023-2024,50,22.2,1074695719,2346744290
Chelsea,2024-2025,49,22.4,1232966251,2521632054
Chelsea,2025-2026,34,22.6,1152000000,2525025985
Chelsea,2026-2027,38,23.8,1341714375,2941072015
Coventry,2026-2027,30,25.9,287073866,500884763
Crystal Palace,2015-2016,33,27.7,190115497,289193634
Crystal Palace,2016-2017,38,27.3,314619729,422368381
Crystal Palace,2017-2018,36,26.7,295768549,488291611
Crystal Palace,2018-2019,31,27.4,379145302,622143792
Crystal Palace,2019-2020,26,28.8,244921545,329882640
Crystal Palace,2020-2021,34,28.2,248779781,388683010
Crystal Palace,2021-2022,30,26.7,328902754,650763168
Crystal Palace,2022-2023,37,25.3,356373500,659464418
Crystal Palace,2023-2024,38,24.8,473469384,824109412
Crystal Palace,2024-2025,39,25.9,544066560,822643919
Crystal Palace,2025-2026,36,25.5,702500000,1127019676
Crystal Palace,2026-2027,30,25.8,537395183,908270992
Everton,2015-2016,33,26.8,350039476,663431063
Everton,2016-2017,37,26.2,428698218,740368874
Everton,2017-2018,39,26.4,510869903,935856985
Everton,2018-2019,40,26.0,694137644,1137450650
Everton,2019-2020,32,26.7,544047303,866730029
Everton,2020-2021,37,25.8,656054807,962343013
Everton,2021-2022,36,26.2,581298154,827938359
Everton,2022-2023,38,26.7,455767564,800401453
Everton,2023-2024,32,26.6,415342621,711892058
Everton,2024-2025,32,26.6,375094574,614678380
Everton,2025-2026,31,25.5,459250000,821863576
Everton,2026-2027,24,25.6,464185681,798384689
Fulham,2018-2019,30,26.5,333556031,695308060
Fulham,2020-2021,38,26.4,307686111,383573760
Fulham,2022-2023,44,25.8,325540381,415850022
Fulham,2023-2024,35,26.4,407496966,559717666
Fulham,2024-2025,27,27.6,374190980,500202170
Fulham,2025-2026,27,27.8,376200000,699687545
Fulham,2026-2027,22,26.8,338754059,659318371
Huddersfield,2017-2018,34,25.8,142105582,199378064
Huddersfield,2018-2019,30,26.0,180323604,264352846
Hull,2016-2017,35,27.2,187112138,279762017
Hull,2026-2027,30,26.4,142182114,331804137
Ipswich,2024-2025,33,26.5,278926408,451298607
Ipswich,2026-2027,32,26.3,312987862,500992905
Leeds,2020-2021,37,24.8,305568563,501999389
Leeds,2021-2022,32,24.0,363364434,573554628
Leeds,2022-2023,40,24.2,380753176,792377179
Leeds,2025-2026,30,26.3,374200000,451886186
Leeds,2026-2027,25,26.8,397035916,473731280
Leicester,2015-2016,31,27.7,225700859,2538460415
Leicester,2016-2017,30,26.8,301156194,509773876
Leicester,2017-2018,31,27.2,407690932,685195017
Leicester,2018-2019,36,26.6,569505105,1053020446
Leicester,2019-2020,29,26.4,531822248,877337158
Leicester,2020-2021,32,26.7,655284789,1124114689
Leicester,2021-2022,33,26.5,638936526,972707268
Leicester,2022-2023,35,26.5,541317061,792306251
Leicester,2024-2025,36,25.5,261629046,546934471
Liverpool,2015-2016,39,23.9,525724688,789502152
Liverpool,2016-2017,36,24.8,586266335,860869217
Liverpool,2017-2018,33,25.3,1149038535,1662381652
Liverpool,2018-2019,33,25.8,1538096718,2209634636
Liverpool,2019-2020,39,25.3,1297084838,1961313587
Liverpool,2020-2021,38,25.2,1244412252,2059432101
Liverpool,2021-2022,42,24.9,1115029482,1802377245
Liverpool,2022-2023,36,25.6,895594571,1626908080
Liverpool,2023-2024,44,23.8,1013202747,1842233596
Liverpool,2024-2025,30,25.2,982025425,1500943637
Liverpool,2025-2026,37,24.4,980500000,2270099754
Liverpool,2026-2027,30,25.1,984830372,2250781134
