id,start_date_local,name,type,moving_time,distance,elapsed_time,total_elevation_gain,max_speed,average_speed,has_heartrate,max_heartrate,average_heartrate,average_cadence,calories,device_watts,icu_average_watts,icu_normalized_watts,icu_joules,icu_intensity,icu_training_load,icu_training_load_edited,icu_rpe,pace,icu_fatigue,icu_fitness,icu_eftp,icu_variability,icu_efficiency,trainer,commute,race,sub_type,icu_ftp,icu_w_prime,p_max,threshold_pace,power_load,hr_load,pace_load,icu_resting_hr,lthr,hr_z1,hr_z2,hr_z3,hr_z4,hr_z5,hr_z6,hr_max,hr_z1_secs,hr_z2_secs,hr_z3_secs,hr_z4_secs,hr_z5_secs,hr_z6_secs,hr_z7_secs,z1_secs,z2_secs,z3_secs,z4_secs,z5_secs,z6_secs,z7_secs,sweet_spot_secs,icu_weight,icu_ignore_power,icu_ignore_hr,icu_ignore_time,icu_recording_time,icu_warmup_time,icu_cooldown_time,icu_hrrc,icu_hrrc_start_bpm,icu_power_spike_threshold,icu_pm_ftp,icu_pm_cp,icu_pm_w_prime,icu_pm_p_max,start_date,icu_sync_date,timezone,file_type,external_id,compliance,gear,description
i178814969,2026-08-23T08:45:21,"Ez w Stellar","Run",3534,9715.96,7752,63.665997,5.346,2.74,true,145,127,84.818985,675,true,,,,69.90937,50,,2,2.7492812,63.221848,58.17141,,,,,false,false,,,,,3.7735848,,43,50,48,163,137,146,153,162,167,172,190,3083,464,0,0,0,0,0,,,,,,,,,70.5,false,false,false,3683,600,300,,,,,,,,2026-08-23T06:45:21Z,2026-08-23T09:11:31Z,,"fit","24081775996",98.039215,,
19851874327,2026-08-22T13:56:16,"Zwift - 45min Z1","VirtualRide",2734,14445.9,2734,225.40001,19.92,5.284,true,115,105,94.04219,280,true,107,111,293336,48.260868,23,,,5.283797,65.25226,58.3683,114,1.0373832,1.0571429,false,false,false,,230,,,,18,23,,48,150,120,133,140,149,153,158,190,2727,0,0,0,0,0,0,2715,12,0,0,0,0,0,0,70.7,false,false,false,2733,0,0,,,,114,112,8496,206,2026-08-22T13:56:16Z,2026-08-22T14:42:14Z,"(GMT+00:00) GMT",,"zwift-activity-2210383969688535088.fit",121.052635,,"🗺️ Mighty Metropolitan in New York\n🎉 Leveled up today\n⚡️ New 5min power best (90day)\n⚡️ New 10min power best (90day)\n⚡️ New 20min power best (90day)"
i178491130,2026-08-22T07:25:37,"Long 3x12min","Run",5430,16603.95,5509,44.67348,3.844,3.056,true,165,142,89.60599,1180,true,,,,80.15624,97,,5,3.0578175,65.25226,58.3683,,,,,false,false,,,,,3.7735848,,96,97,48,163,137,146,153,162,167,172,190,2345,1012,582,1452,43,0,0,,,,,,,,,70.7,false,false,false,5435,600,300,,,,,,,,2026-08-22T05:25:37Z,2026-08-22T06:58:38Z,,"fit","24068329535",98.97959,,
19837897702,2026-08-21T13:50:28,"Zwift -  Recovery","VirtualRide",2456,16584.6,2492,116.0,17.08,6.753,true,108,99,87.865036,244,true,104,107,255754,46.52174,18,,,6.752687,56.844925,56.88327,110,1.0288461,1.080808,false,false,false,,230,,,,15,18,,48,150,120,133,140,149,153,158,190,2455,0,0,0,0,0,0,2454,1,0,0,0,0,0,0,70.0,false,false,false,2456,0,0,,,,110,108,8240,148,2026-08-21T13:50:28Z,2026-08-21T14:32:23Z,"(GMT+00:00) GMT",,"zwift-activity-2209656620273680432.fit",72.0,,"🗺️ Flat Route in Watopia\n🎉 Leveled up today\n⚡️ New 5min power best (90day)\n⚡️ New 10min power best (90day)\n⚡️ New 20min power best (90day)"
i178160230,2026-08-21T06:55:51,"MK Social","Run",1798,4651.58,1809,31.325804,3.275,2.582,true,128,117,85.00167,318,true,,,,67.67308,23,,2,2.5870857,56.844925,56.88327,,,,,false,false,,,,,3.7735848,,16,23,48,163,137,146,153,162,167,172,190,1801,0,0,0,0,0,0,,,,,,,,,70.0,false,false,false,1808,600,300,,,,,,,,2026-08-21T04:55:51Z,2026-08-21T05:38:06Z,,"fit","24056677296",85.18519,,
i177792334,2026-08-20T05:45:55,"7x2","Run",2890,8734.01,2932,73.58125,4.245,3.015,true,156,135,88.2941,591,true,,,,79.145905,51,,4,3.0221486,59.278152,57.26598,,,,,false,false,,,,,3.7735848,,44,51,49,163,137,146,153,162,167,172,190,1394,440,787,275,0,0,0,,,,,,,,,70.6,false,false,false,2931,600,300,,,,,,,,2026-08-20T03:45:55Z,2026-08-20T04:37:06Z,,"fit","24044075546",91.07143,,
i177618284,2026-08-19T17:42:20,"Oli Oli Social","Run",1694,4984.2,2090,30.838005,3.34,2.935,true,143,129,86.08802,338,true,,,,75.44335,28,,3,2.942267,60.549385,57.41696,,,,,false,false,,,,,3.7735848,,22,28,48,163,137,146,153,162,167,172,190,1245,456,0,0,0,0,0,,,,,,,,,71.2,false,false,false,1771,600,300,,,,,,,,2026-08-19T15:42:20Z,2026-08-19T16:17:50Z,,"fit","24038234808",100.0,,
i177404884,2026-08-19T05:34:36,"Easy","Run",2170,5744.87,2229,37.655396,5.673,2.645,true,129,119,87.089645,393,true,,,,68.98139,29,,1,2.6474056,60.549385,57.41696,,,,,false,false,,,,,3.7735848,,21,29,48,163,137,146,153,162,167,172,190,2174,0,0,0,0,0,0,,,,,,,,,71.2,false,false,false,2194,600,300,,,,,,,,2026-08-19T03:34:36Z,2026-08-19T04:13:58Z,,"fit","24031078467",96.666664,,
i176990179,2026-08-18T05:28:22,"5x3","Run",3032,9275.72,3038,78.17663,3.779,3.057,true,155,135,88.9594,636,true,,,,80.74399,55,,5,3.0592744,61.094444,57.42701,,,,,false,false,,,,,3.7735848,,46,55,49,163,137,146,153,162,167,172,190,1415,498,1060,61,0,0,0,,,,,,,,,71.4,false,false,false,3037,600,300,,,,,,,,2026-08-18T03:28:22Z,2026-08-18T04:21:45Z,,"fit","24017675658",93.22034,,
19781945989,2026-08-17T16:39:42,"Testing out zwift","VirtualRide",899,6235.0,899,15.800001,11.0,6.935,true,110,100,86.41056,75,true,88,95,79297,38.0,7,true,,6.935484,62.03034,57.48549,,1.0795455,0.95,false,false,false,,250,,,,4,7,,46,150,120,133,140,149,153,158,190,899,0,0,0,0,0,0,864,33,2,0,0,0,0,0,70.8,false,false,false,898,0,0,,,,87,86,6565,236,2026-08-17T16:39:42Z,2026-08-18T05:43:26Z,"(GMT+00:00) GMT",,"zwift-activity-2206842735573385216.fit",0.0,,"⚡️ New 5sec power best (90day)\n⚡️ New 15sec power best (90day)\n⚡️ New 30sec power best (90day)\n⚡️ New 1min power best (90day)\n⚡️ New 2min power best (90day)\n⚡️ New 5min power best (90day)\n⚡️ New 10min power best (90day)\n⚡️ New FTP set!"
i176621529,2026-08-17T05:22:50,"easy","Run",2961,7822.78,3091,52.878067,3.051,2.638,true,131,121,87.03345,535,true,,,,69.32827,40,,1,2.6419384,62.03034,57.48549,,,,,false,false,,,,,3.7735848,,30,40,46,163,137,146,153,162,167,172,190,2964,0,0,0,0,0,0,,,,,,,,,70.8,false,false,false,2996,600,300,,,,,,,,2026-08-17T03:22:50Z,2026-08-17T04:17:02Z,,"fit","24005356991",97.560974,,
i176340761,2026-08-16T08:44:40,"Ez w Stellar","Run",3204,9080.24,7370,54.53081,3.144,2.83,true,152,132,86.40869,657,true,,,,73.2014,49,,1,2.8340325,64.33847,57.73814,,,,,false,false,,,,,3.7735848,,44,49,46,163,137,146,153,162,167,172,190,2067,1080,68,0,0,0,0,,,,,,,,,71.2,false,false,false,3292,600,300,,,,,,,,2026-08-16T06:44:40Z,2026-08-16T08:49:14Z,,"fit","23995102699",102.083336,,
i176049526,2026-08-15T11:31:18,"Z1 Ride","Ride",4194,28613.83,4427,124.0,9.247,6.792,true,127,115,,529,,,,,65.13927,51,,,6.822563,66.693924,57.94869,,,,false,false,false,,250,,,,,51,,45,150,120,133,140,149,153,158,190,3643,573,0,0,0,0,0,,,,,,,,,71.0,false,false,false,4327,1200,600,,,,,,,,2026-08-15T09:31:18Z,2026-08-15T10:51:34Z,,"fit","23984710094",127.5,,
i175964334,2026-08-15T06:31:57,"QLR 3x10min","Run",4977,14704.44,5078,39.598705,3.826,2.952,true,160,134,88.675934,1041,true,,,,77.33553,83,,5,2.9544787,66.693924,57.94869,,,,,false,false,,,,,3.7735848,,75,83,45,163,137,146,153,162,167,172,190,3205,237,827,712,0,0,0,,,,,,,,,71.0,false,false,false,4996,600,300,,,,,,,,2026-08-15T04:31:57Z,2026-08-15T05:57:45Z,,"fit","23981497621",98.809525,,
i175655458,2026-08-14T07:03:02,"MK Social","Run",2316,6540.79,4548,55.26567,3.331,2.816,true,144,129,85.16911,454,true,,,,73.546005,36,,2,2.8241754,56.358067,56.116215,,,,,false,false,,,,,3.7735848,,29,36,48,163,137,146,153,162,167,172,190,1978,346,0,0,0,0,0,,,,,,,,,71.2,false,false,false,2396,600,300,,,,,,,,2026-08-14T05:03:02Z,2026-08-14T06:19:33Z,,"fit","23970368762",102.85714,,
i175331922,2026-08-13T05:33:26,"8x2","Run",3221,9723.1,3222,82.56915,3.816,3.017,true,161,140,88.368095,675,true,,,,79.81662,57,,6,3.0186586,59.484352,56.600918,,,,,false,false,,,,,3.7735848,,56,57,44,163,137,146,153,162,167,172,190,1367,321,645,890,0,0,0,,,,,,,,,70.6,false,false,false,3221,600,300,,,,,,,,2026-08-13T03:33:26Z,2026-08-13T04:28:25Z,,"fit","23957267843",95.0,,
i175171468,2026-08-12T15:51:55,"Z1 Ride","Ride",3024,20339.33,3261,34.0,9.396,6.715,true,114,100,,294,,,,,52.784447,24,,2,6.725969,59.86586,56.5913,,,,,false,false,,250,,,,,24,,46,150,120,133,140,149,153,158,190,3035,0,0,0,0,0,0,,,,,,,,,70.4,false,false,false,3101,0,0,,,,,,,,2026-08-12T13:51:55Z,2026-08-12T14:47:20Z,,"fit","23950594099",85.71429,,
i174971860,2026-08-12T05:29:30,"Easy","Run",2935,7844.66,3006,47.726437,3.163,2.665,true,132,122,86.75615,533,true,,,,69.22437,40,,2,2.6727974,59.86586,56.5913,,,,,false,false,,,,,3.7735848,,31,40,46,163,137,146,153,162,167,172,190,2939,0,0,0,0,0,0,,,,,,,,,70.4,false,false,false,3005,600,300,,,,,,,,2026-08-12T03:29:30Z,2026-08-12T04:20:32Z,,"fit","23944374832",97.560974,,
