Minute,Team,Player,Event Type,Outcome,xG,PSxG,match_url,match_date,home_team,away_team,division,season
10,Wolves,Pablo Sarabia,Shot,Off Target,0.42,0.0,https://fbref.com/en/matches/0b39252e/Wolverhampton-Wanderers-Arsenal-January-25-2025-Premier-League,2025-01-25,Wolverhampton Wanderers,Arsenal,Premier League,2024
19,Arsenal,Kai Havertz,Shot,Off Target,0.08,0.0,https://fbref.com/en/matches/0b39252e/Wolverhampton-Wanderers-Arsenal-January-25-2025-Premier-League,2025-01-25,Wolverhampton Wanderers,Arsenal,Premier League,2024
24,Arsenal,Kai Havertz,Shot,Saved,0.17,0.05,https://fbref.com/en/matches/0b39252e/Wolverhampton-Wanderers-Arsenal-January-25-2025-Premier-League,2025-01-25,Wolverhampton Wanderers,Arsenal,Premier League,2024
26,Arsenal,Thomas Partey,Shot,Off Target,0.03,0.0,https://fbref.com/en/matches/0b39252e/Wolverhampton-Wanderers-Arsenal-January-25-2025-Premier-League,2025-01-25,Wolverhampton Wanderers,Arsenal,Premier League,2024
36,Wolverhampton Wanderers,João Gomes,Yellow Card,Yellow Card,0.0,0.0,https://fbref.com/en/matches/0b39252e/Wolverhampton-Wanderers-Arsenal-January-25-2025-Premier-League,2025-01-25,Wolverhampton Wanderers,Arsenal,Premier League,2024
40,Arsenal,Ethan Nwaneri,Shot,Blocked,0.17,0.0,https://fbref.com/en/matches/0b39252e/Wolverhampton-Wanderers-Arsenal-January-25-2025-Premier-League,2025-01-25,Wolverhampton Wanderers,Arsenal,Premier League,2024
40,Arsenal,Ethan Nwaneri,Shot,Blocked,0.07,0.0,https://fbref.com/en/matches/0b39252e/Wolverhampton-Wanderers-Arsenal-January-25-2025-Premier-League,2025-01-25,Wolverhampton Wanderers,Arsenal,Premier League,2024
43,Arsenal,Myles Lewis-Skelly,Red Card,Red Card,0.0,0.0,https://fbref.com/en/matches/0b39252e/Wolverhampton-Wanderers-Arsenal-January-25-2025-Premier-League,2025-01-25,Wolverhampton Wanderers,Arsenal,Premier League,2024
44,Arsenal,Jurriën Timber,Yellow Card,Yellow Card,0.0,0.0,https://fbref.com/en/matches/0b39252e/Wolverhampton-Wanderers-Arsenal-January-25-2025-Premier-League,2025-01-25,Wolverhampton Wanderers,Arsenal,Premier League,2024
45,Wolves,Matheus Cunha,Shot,Blocked,0.01,0.0,https://fbref.com/en/matches/0b39252e/Wolverhampton-Wanderers-Arsenal-January-25-2025-Premier-League,2025-01-25,Wolverhampton Wanderers,Arsenal,Premier League,2024
45,Wolves,Emmanuel Agbadou,Shot,Off Target,0.02,0.0,https://fbref.com/en/matches/0b39252e/Wolverhampton-Wanderers-Arsenal-January-25-2025-Premier-League,2025-01-25,Wolverhampton Wanderers,Arsenal,Premier League,2024
50,Arsenal,Gabriel Magalhães,Shot,Blocked,0.06,0.0,https://fbref.com/en/matches/0b39252e/Wolverhampton-Wanderers-Arsenal-January-25-2025-Premier-League,2025-01-25,Wolverhampton Wanderers,Arsenal,Premier League,2024
