team,division,season
Newcastle Utd,Premier League,2017-2018
Brighton,Premier League,2017-2018
Huddersfield,Premier League,2017-2018
Wolves,Premier League,2018-2019
Cardiff City,Premier League,2018-2019
Fulham,Premier League,2018-2019
Norwich City,Premier League,2019-2020
Sheffield Utd,Premier League,2019-2020
Aston Villa,Premier League,2019-2020
Leeds United,Premier League,2020-2021
West Brom,Premier League,2020-2021
Fulham,Premier League,2020-2021
Norwich City,Premier League,2021-2022
Watford,Premier League,2021-2022
Brentford,Premier League,2021-2022
Fulham,Premier League,2022-2023
Bournemouth,Premier League,2022-2023
Nott'ham Forest,Premier League,2022-2023
Burnley,Premier League,2023-2024
Sheffield Utd,Premier League,2023-2024
Luton Town,Premier League,2023-2024
Leicester City,Premier League,2024-2025
Ipswich Town,Premier League,2024-2025
Southampton,Premier League,2024-2025
Wigan Athletic,Championship,2018-2019
Blackburn,Championship,2018-2019
Rotherham Utd,Championship,2018-2019
Luton Town,Championship,2019-2020
Barnsley,Championship,2019-2020
Charlton Ath,Championship,2019-2020
Coventry City,Championship,2020-2021
Rotherham Utd,Championship,2020-2021
Wycombe,Championship,2020-2021
Hull City,Championship,2021-2022
P'borough Utd,Championship,2021-2022
Blackpool,Championship,2021-2022
Wigan Athletic,Championship,2022-2023
Rotherham Utd,Championship,2022-2023
Sunderland,Championship,2022-2023
Plymouth Argyle,Championship,2023-2024
Ipswich Town,Championship,2023-2024
Sheffield Weds,Championship,2023-2024
Portsmouth,Championship,2024-2025
Derby County,Championship,2024-2025
Oxford United,Championship,2024-2025
SPAL,Serie A,2017-2018
Hellas Verona,Serie A,2017-2018
Benevento,Serie A,2017-2018
Empoli,Serie A,2018-2019
Parma,Serie A,2018-2019
Frosinone,Serie A,2018-2019
Brescia,Serie A,2019-2020
Lecce,Serie A,2019-2020
Hellas Verona,Serie A,2019-2020
Benevento,Serie A,2020-2021
Crotone,Serie A,2020-2021
Spezia,Serie A,2020-2021
Empoli,Serie A,2021-2022
Salernitana,Serie A,2021-2022
Venezia,Serie A,2021-2022
Lecce,Serie A,2022-2023
Cremonese,Serie A,2022-2023
Monza,Serie A,2022-2023
Frosinone,Serie A,2023-2024
Genoa,Serie A,2023-2024
Cagliari,Serie A,2023-2024
Parma,Serie A,2024-2025
Como,Serie A,2024-2025
Venezia,Serie A,2024-2025
Livorno,Serie B,2018-2019
Padova,Serie B,2018-2019
Lecce,Serie B,2018-2019
Virtus Entella,Serie B,2019-2020
Pordenone,Serie B,2019-2020
Juve Stabia,Serie B,2019-2020
Monza,Serie B,2020-2021
Vicenza Virtus,Serie B,2020-2021
US Reggina,Serie B,2020-2021
Como,Serie B,2021-2022
Perugia,Serie B,2021-2022
Ternana,Serie B,2021-2022
Südtirol,Serie B,2022-2023
Modena,Serie B,2022-2023
Bari,Serie B,2022-2023
FeralpiSalò,Serie B,2023-2024
Reggiana,Serie B,2023-2024
Catanzaro,Serie B,2023-2024
Mantova,Serie B,2024-2025
Cesena,Serie B,2024-2025
Juve Stabia,Serie B,2024-2025
Strasbourg,Ligue 1,2017-2018
Amiens,Ligue 1,2017-2018
Troyes,Ligue 1,2017-2018
Reims,Ligue 1,2018-2019
Nîmes,Ligue 1,2018-2019
Metz,Ligue 1,2019-2020
Brest,Ligue 1,2019-2020
Lorient,Ligue 1,2020-2021
Lens,Ligue 1,2020-2021
Troyes,Ligue 1,2021-2022
Clermont Foot,Ligue 1,2021-2022
Toulouse,Ligue 1,2022-2023
Ajaccio,Ligue 1,2022-2023
Le Havre,Ligue 1,2023-2024
Metz,Ligue 1,2023-2024
Auxerre,Ligue 1,2024-2025
Angers,Ligue 1,2024-2025
Stuttgart,Bundesliga,2017-2018
Hannover 96,Bundesliga,2017-2018
Düsseldorf,Bundesliga,2018-2019
Nürnberg,Bundesliga,2018-2019
Köln,Bundesliga,2019-2020
Paderborn 07,Bundesliga,2019-2020
Union Berlin,Bundesliga,2019-2020
Arminia,Bundesliga,2020-2021
Stuttgart,Bundesliga,2020-2021
Bochum,Bundesliga,2021-2022
Greuther Fürth,Bundesliga,2021-2022
Schalke 04,Bundesliga,2022-2023
Werder Bremen,Bundesliga,2022-2023
Hamburger SV,Bundesliga,2022-2023
Heidenheim,Bundesliga,2023-2024
Darmstadt 98,Bundesliga,2023-2024
St. Pauli,Bundesliga,2024-2025
Holstein Kiel,Bundesliga,2024-2025
Levante,La Liga,2017-2018
Girona,La Liga,2017-2018
Getafe,La Liga,2017-2018
Rayo Vallecano,La Liga,2018-2019
Huesca,La Liga,2018-2019
Valladolid,La Liga,2018-2019
Osasuna,La Liga,2019-2020
Granada,La Liga,2019-2020
Mallorca,La Liga,2019-2020
Huesca,La Liga,2020-2021
Cádiz,La Liga,2020-2021
Elche,La Liga,2020-2021
Espanyol,La Liga,2021-2022
Mallorca,La Liga,2021-2022
Rayo Vallecano,La Liga,2021-2022
Almería,La Liga,2022-2023
Valladolid,La Liga,2022-2023
Girona,La Liga,2022-2023
Leganés,La Liga,2024-2025
Valladolid,La Liga,2024-2025
Espanyol,La Liga,2024-2025
