season,team_id,team,xg,matches_played,goals,xga,goals_against,possession
2016/2017,9879,Fulham,,46,,,,62.5
2016/2017,9798,Reading,,46,,,,60.0
2016/2017,9796,Huddersfield Town,,46,,,,58.4
2016/2017,10261,Newcastle United,,46,,,,54.1
2016/2017,10163,Sheffield Wednesday,,46,,,,52.4
2016/2017,9850,Norwich City,,46,,,,52.1
2016/2017,9937,Brentford,,46,,,,51.6
2016/2017,10170,Derby County,,46,,,,51.1
2016/2017,10204,Brighton & Hove Albion,,46,,,,51.0
2016/2017,8463,Leeds United,,46,,,,50.8
2016/2017,10203,Nottingham Forest,,46,,,,50.4
2016/2017,8427,Bristol City,,46,,,,49.7
2016/2017,8528,Wigan Athletic,,46,,,,49.4
2016/2017,10172,Queens Park Rangers,,46,,,,48.9
2016/2017,8602,Wolverhampton Wanderers,,46,,,,48.8
2016/2017,8655,Blackburn Rovers,,46,,,,47.8
2016/2017,9902,Ipswich Town,,46,,,,47.8
2016/2017,8658,Birmingham City,,46,,,,47.2
2016/2017,8283,Barnsley,,46,,,,47.0
2016/2017,10252,Aston Villa,,46,,,,46.8
2016/2017,8411,Preston North End,,46,,,,45.0
2016/2017,9792,Burton Albion,,46,,,,44.2
2016/2017,8344,Cardiff City,,46,,,,42.5
2016/2017,8119,Rotherham United,,46,,,,40.5
2017/2018,9879,Fulham,,46,,,,60.3
2017/2018,9937,Brentford,,46,,,,57.9
2017/2018,9798,Reading,,46,,,,55.2
2017/2018,9850,Norwich City,,46,,,,55.0
2017/2018,8602,Wolverhampton Wanderers,,46,,,,54.3
2017/2018,10203,Nottingham Forest,,46,,,,54.2
2017/2018,8657,Sheffield United,,46,,,,53.0
2017/2018,8427,Bristol City,,46,,,,52.9
2017/2018,8411,Preston North End,,46,,,,52.3
2017/2018,10252,Aston Villa,,46,,,,51.8
2017/2018,10172,Queens Park Rangers,,46,,,,50.9
2017/2018,10163,Sheffield Wednesday,,46,,,,50.3
2017/2018,8667,Hull City,,46,,,,49.9
2017/2018,8463,Leeds United,,46,,,,49.7
2017/2018,8549,Middlesbrough,,46,,,,48.6
2017/2018,10170,Derby County,,46,,,,47.9
2017/2018,8283,Barnsley,,46,,,,47.4
2017/2018,8472,Sunderland,,46,,,,47.3
2017/2018,8658,Birmingham City,,46,,,,45.8
2017/2018,9902,Ipswich Town,,46,,,,45.6
2017/2018,9792,Burton Albion,,46,,,,43.4
2017/2018,8344,Cardiff City,,46,,,,42.9
2017/2018,8559,Bolton Wanderers,,46,,,,41.8
2017/2018,10004,Millwall,,46,,,,41.5
2018/2019,8559,Bolton Wanderers,2.1,45,29.0,1.4,77.0,40.7
2018/2019,10172,Queens Park Rangers,1.4,46,53.0,2.1,71.0,44.4
2018/2019,8119,Rotherham United,,46,,,,42.1
2018/2019,8411,Preston North End,,46,,,,51.3
2018/2019,8427,Bristol City,,46,,,,51.6
2018/2019,8463,Leeds United,,46,,,,64.5
2018/2019,8528,Wigan Athletic,,46,,,,47.0
2018/2019,8549,Middlesbrough,,46,,,,43.5
2018/2019,8655,Blackburn Rovers,,46,,,,50.2
2018/2019,8657,Sheffield United,,46,,,,51.8
2018/2019,8658,Birmingham City,,46,,,,40.3
2018/2019,8659,West Bromwich Albion,,46,,,,51.8
2018/2019,8667,Hull City,,46,,,,45.8
2018/2019,9798,Reading,,46,,,,49.3
2018/2019,9850,Norwich City,,46,,,,57.7
2018/2019,9902,Ipswich Town,,46,,,,49.7
2018/2019,9937,Brentford,,45,,,,58.5
2018/2019,10003,Swansea City,,46,,,,57.7
2018/2019,10004,Millwall,,46,,,,43.8
2018/2019,10163,Sheffield Wednesday,,46,,,,48.3
2018/2019,10170,Derby County,,46,,,,55.5
2018/2019,10194,Stoke City,,46,,,,51.1
2018/2019,10203,Nottingham Forest,,46,,,,49.7
2018/2019,10252,Aston Villa,,46,,,,53.7
2019/2020,9937,Brentford,3.4,46,80.0,0.3,38.0,58.2
2019/2020,10003,Swansea City,2.7,46,62.0,1.4,53.0,52.3
2019/2020,8283,Barnsley,2.6,46,49.0,0.7,69.0,52.8
2019/2020,9796,Huddersfield Town,1.4,46,52.0,2.7,70.0,51.2
2019/2020,10203,Nottingham Forest,0.7,46,58.0,2.6,50.0,46.2
2019/2020,8427,Bristol City,0.3,46,60.0,3.4,65.0,47.7
2019/2020,8344,Cardiff City,,46,,,,42.7
2019/2020,8346,Luton Town,,46,,,,46.3
2019/2020,8411,Preston North End,,46,,,,51.5
2019/2020,8451,Charlton Athletic,,46,,,,45.3
2019/2020,8463,Leeds United,,46,,,,64.2
2019/2020,8528,Wigan Athletic,,46,,,,47.6
2019/2020,8549,Middlesbrough,,46,,,,45.7
2019/2020,8655,Blackburn Rovers,,46,,,,52.4
2019/2020,8658,Birmingham City,,46,,,,45.5
2019/2020,8659,West Bromwich Albion,,46,,,,55.4
2019/2020,8667,Hull City,,46,,,,43.5
2019/2020,9798,Reading,,46,,,,45.7
2019/2020,9879,Fulham,,46,,,,61.4
2019/2020,10004,Millwall,,46,,,,43.0
2019/2020,10163,Sheffield Wednesday,,46,,,,47.6
2019/2020,10170,Derby County,,46,,,,52.8
2019/2020,10172,Queens Park Rangers,,46,,,,54.5
2019/2020,10194,Stoke City,,46,,,,46.4
2020/2021,9850,Norwich City,78.9,46,75.0,52.6,36.0,60.7
2020/2021,9937,Brentford,76.1,46,79.0,39.9,42.0,55.6
2020/2021,8655,Blackburn Rovers,69.9,46,65.0,54.1,54.0,57.6
2020/2021,9817,Watford,67.8,46,63.0,46.3,30.0,54.0
2020/2021,8678,AFC Bournemouth,65.3,46,73.0,50.6,46.0,58.0
2020/2021,10172,Queens Park Rangers,62.0,46,57.0,63.1,55.0,52.9
2020/2021,8549,Middlesbrough,59.4,46,55.0,48.3,53.0,46.9
2020/2021,8344,Cardiff City,59.2,46,66.0,55.8,49.0,44.6
2020/2021,8283,Barnsley,58.8,46,58.0,48.2,50.0,47.1
2020/2021,8119,Rotherham United,58.0,46,44.0,62.7,60.0,44.3
2020/2021,9798,Reading,57.1,46,62.0,48.7,54.0,52.1
2020/2021,8346,Luton Town,54.0,46,41.0,57.5,52.0,49.6
2020/2021,10003,Swansea City,52.0,46,56.0,48.4,39.0,50.7
2020/2021,8411,Preston North End,51.8,46,49.0,61.4,56.0,48.7
2020/2021,10194,Stoke City,50.6,46,50.0,46.1,52.0,49.4
2020/2021,10004,Millwall,50.4,46,47.0,53.5,52.0,45.7
2020/2021,10203,Nottingham Forest,50.3,46,37.0,53.7,45.0,49.9
2020/2021,8669,Coventry City,49.3,46,49.0,63.6,61.0,47.8
2020/2021,10163,Sheffield Wednesday,48.9,46,40.0,60.5,61.0,45.7
2020/2021,8676,Wycombe Wanderers,48.6,46,39.0,75.0,69.0,39.2
2020/2021,10170,Derby County,48.0,46,36.0,55.4,58.0,51.1
2020/2021,9796,Huddersfield Town,47.1,46,50.0,69.1,71.0,56.1
2020/2021,8658,Birmingham City,45.8,46,37.0,61.8,61.0,46.5
2020/2021,8427,Bristol City,40.3,46,46.0,73.5,68.0,45.8
2021/2022,9879,Fulham,90.4,46,106.0,40.1,43.0,60.8
2021/2022,8678,AFC Bournemouth,70.3,46,74.0,41.2,39.0,57.0
2021/2022,8659,West Bromwich Albion,69.3,46,52.0,44.2,45.0,51.6
2021/2022,8657,Sheffield United,65.8,46,63.0,48.4,45.0,57.0
2021/2022,8669,Coventry City,65.7,46,60.0,50.6,59.0,53.4
2021/2022,10203,Nottingham Forest,62.8,46,73.0,50.5,40.0,50.4
2021/2022,8549,Middlesbrough,61.5,46,59.0,43.0,50.0,49.4
2021/2022,8346,Luton Town,56.9,46,63.0,49.4,55.0,44.1
2021/2022,8655,Blackburn Rovers,54.4,46,59.0,51.1,50.0,44.8
2021/2022,8483,Blackpool,53.5,46,54.0,59.9,58.0,46.0
2021/2022,8658,Birmingham City,53.2,46,50.0,56.1,75.0,44.0
2021/2022,8411,Preston North End,52.9,46,52.0,50.9,56.0,49.8
2021/2022,8344,Cardiff City,52.4,46,50.0,54.3,68.0,44.9
2021/2022,10004,Millwall,52.3,46,53.0,57.8,45.0,46.5
2021/2022,10194,Stoke City,52.3,46,57.0,52.5,52.0,52.3
2021/2022,8427,Bristol City,52.2,46,62.0,71.4,77.0,44.7
2021/2022,9796,Huddersfield Town,51.6,46,64.0,51.5,47.0,47.8
2021/2022,10172,Queens Park Rangers,50.4,46,60.0,57.7,59.0,54.0
2021/2022,10003,Swansea City,48.8,46,58.0,65.3,68.0,63.9
2021/2022,9798,Reading,46.4,46,54.0,70.4,87.0,47.5
2021/2022,8667,Hull City,45.4,46,41.0,57.0,54.0,46.4
2021/2022,8677,Peterborough United,44.6,46,43.0,75.8,87.0,47.8
2021/2022,10170,Derby County,42.0,46,45.0,56.5,53.0,51.2
2021/2022,8283,Barnsley,37.7,46,33.0,77.1,73.0,44.9
2022/2023,8549,Middlesbrough,73.9,46,84.0,48.3,56.0,58.0
2022/2023,8657,Sheffield United,73.0,46,73.0,44.7,39.0,51.3
2022/2023,8191,Burnley,67.0,46,87.0,39.1,35.0,64.7
2022/2023,8659,West Bromwich Albion,66.8,46,59.0,49.1,53.0,53.4
2022/2023,8669,Coventry City,63.7,46,58.0,55.5,46.0,47.0
2022/2023,10003,Swansea City,62.3,46,68.0,52.8,64.0,64.0
2022/2023,8472,Sunderland,59.3,46,68.0,52.8,55.0,53.7
2022/2023,10194,Stoke City,59.2,46,55.0,50.5,53.0,52.9
2022/2023,9850,Norwich City,59.1,46,57.0,55.3,54.0,56.9
2022/2023,8346,Luton Town,58.9,46,57.0,44.6,39.0,45.7
2022/2023,8427,Bristol City,58.0,46,55.0,56.7,54.0,49.5
2022/2023,10004,Millwall,57.3,46,57.0,49.3,50.0,45.2
2022/2023,9817,Watford,57.2,46,56.0,51.3,53.0,52.6
2022/2023,8658,Birmingham City,51.3,46,47.0,61.7,58.0,41.9
2022/2023,10172,Queens Park Rangers,50.8,46,44.0,63.3,71.0,49.5
2022/2023,8483,Blackpool,49.3,46,48.0,72.6,72.0,42.4
2022/2023,8411,Preston North End,48.7,46,45.0,57.3,59.0,47.6
2022/2023,8344,Cardiff City,47.9,46,41.0,56.8,58.0,46.6
2022/2023,8667,Hull City,47.3,46,51.0,62.2,61.0,50.0
2022/2023,8655,Blackburn Rovers,46.3,46,52.0,53.9,54.0,53.7
2022/2023,8528,Wigan Athletic,46.0,46,38.0,59.0,65.0,48.0
2022/2023,9796,Huddersfield Town,43.6,46,47.0,62.7,62.0,41.1
2022/2023,8119,Rotherham United,43.0,46,49.0,71.8,60.0,42.5
2022/2023,9798,Reading,42.6,46,46.0,60.9,68.0,41.9
2023/2024,8197,Leicester City,85.8,46,89.0,43.3,41.0,62.1
2023/2024,8466,Southampton,81.0,46,87.0,50.2,63.0,66.0
2023/2024,8463,Leeds United,80.9,46,81.0,39.0,43.0,58.4
2023/2024,9902,Ipswich Town,75.1,46,92.0,47.5,57.0,53.1
2023/2024,8549,Middlesbrough,69.5,46,71.0,55.0,62.0,52.9
2023/2024,8669,Coventry City,65.5,46,70.0,57.3,59.0,51.5
2023/2024,9850,Norwich City,63.7,46,79.0,64.4,64.0,49.3
2023/2024,8655,Blackburn Rovers,62.3,46,60.0,65.8,74.0,51.6
2023/2024,8472,Sunderland,62.2,46,52.0,52.1,54.0,55.6
2023/2024,8659,West Bromwich Albion,61.3,46,70.0,50.9,47.0,52.2
2023/2024,10003,Swansea City,59.8,46,59.0,68.8,65.0,55.1
2023/2024,8667,Hull City,57.7,46,68.0,52.9,60.0,55.5
2023/2024,10194,Stoke City,55.6,46,49.0,58.4,60.0,50.7
2023/2024,9817,Watford,53.7,46,61.0,57.8,61.0,52.0
2023/2024,8401,Plymouth Argyle,53.0,46,59.0,73.8,70.0,45.1
2023/2024,8427,Bristol City,52.7,46,53.0,55.0,51.0,47.5
2023/2024,10163,Sheffield Wednesday,51.4,46,44.0,59.2,68.0,43.2
2023/2024,8658,Birmingham City,49.7,46,50.0,61.2,65.0,43.9
2023/2024,9796,Huddersfield Town,49.3,46,48.0,64.1,77.0,39.6
2023/2024,10004,Millwall,45.3,46,45.0,57.3,55.0,41.9
2023/2024,10172,Queens Park Rangers,44.6,46,47.0,51.4,58.0,46.1
2023/2024,8344,Cardiff City,44.3,46,53.0,71.0,70.0,45.4
2023/2024,8411,Preston North End,41.3,46,56.0,60.9,67.0,44.5
2023/2024,8119,Rotherham United,32.2,46,37.0,80.4,89.0,36.8
2024/2025,8463,Leeds United,91.9,46,95.0,30.4,30.0,61.6
2024/2025,8669,Coventry City,70.5,46,64.0,52.6,58.0,54.6
2024/2025,8549,Middlesbrough,67.4,46,64.0,56.4,56.0,55.6
2024/2025,9850,Norwich City,64.2,46,71.0,54.9,68.0,58.2
2024/2025,10163,Sheffield Wednesday,63.2,46,60.0,63.8,69.0,48.0
2024/2025,8657,Sheffield United,63.0,46,63.0,46.4,36.0,51.5
2024/2025,8472,Sunderland,59.9,46,58.0,49.7,44.0,49.1
2024/2025,8659,West Bromwich Albion,59.4,46,57.0,45.8,47.0,54.4
2024/2025,8427,Bristol City,59.2,46,59.0,56.8,55.0,51.1
2024/2025,8191,Burnley,58.6,46,69.0,38.3,16.0,56.9
2024/2025,10003,Swansea City,57.1,46,51.0,58.1,56.0,58.1
2024/2025,8462,Portsmouth,56.6,46,58.0,70.3,71.0,44.8
2024/2025,9817,Watford,55.5,46,53.0,67.0,61.0,52.7
2024/2025,10004,Millwall,54.1,46,47.0,50.6,49.0,42.5
2024/2025,8411,Preston North End,52.0,46,48.0,58.8,59.0,48.2
2024/2025,8667,Hull City,51.9,46,44.0,54.0,54.0,49.9
2024/2025,8655,Blackburn Rovers,51.7,46,53.0,54.7,48.0,49.1
2024/2025,10194,Stoke City,51.3,46,45.0,73.9,62.0,46.7
2024/2025,8346,Luton Town,51.0,46,45.0,57.0,69.0,45.0
2024/2025,8344,Cardiff City,47.4,46,48.0,64.8,73.0,46.6
2024/2025,10170,Derby County,47.1,46,48.0,50.5,56.0,43.4
2024/2025,10172,Queens Park Rangers,46.6,46,53.0,55.4,63.0,46.6
2024/2025,8653,Oxford United,41.8,46,49.0,67.0,65.0,43.2
2024/2025,8401,Plymouth Argyle,40.9,46,51.0,85.3,88.0,42.3
2025/2026,8669,Coventry City,87.3,46,97.0,50.2,45.0,55.2
2025/2026,9902,Ipswich Town,79.2,46,80.0,46.6,47.0,56.1
2025/2026,8466,Southampton,77.7,46,82.0,57.6,56.0,56.6
2025/2026,8657,Sheffield United,73.1,46,66.0,59.6,66.0,52.4
2025/2026,8549,Middlesbrough,72.1,46,72.0,44.1,47.0,59.5
2025/2026,10004,Millwall,65.6,46,64.0,58.5,49.0,46.9
2025/2026,8658,Birmingham City,63.2,46,57.0,48.7,56.0,53.7
2025/2026,9850,Norwich City,61.9,46,63.0,64.9,56.0,53.7
2025/2026,8667,Hull City,59.7,46,70.0,80.1,66.0,45.7
2025/2026,8659,West Bromwich Albion,58.1,46,48.0,47.6,58.0,51.6
2025/2026,9817,Watford,57.2,46,53.0,54.0,65.0,51.2
2025/2026,9841,Wrexham,56.9,46,69.0,62.3,65.0,48.1
2025/2026,10170,Derby County,56.1,46,67.0,56.9,59.0,44.5
2025/2026,8427,Bristol City,55.5,46,59.0,63.3,59.0,49.3
2025/2026,8655,Blackburn Rovers,55.4,46,42.0,55.6,56.0,48.0
2025/2026,8197,Leicester City,55.1,46,58.0,65.1,68.0,51.8
2025/2026,8411,Preston North End,55.1,46,55.0,71.6,62.0,45.6
2025/2026,10172,Queens Park Rangers,54.7,46,61.0,57.4,73.0,46.0
2025/2026,8653,Oxford United,52.3,46,45.0,60.1,59.0,40.0
2025/2026,10003,Swansea City,51.5,46,57.0,57.2,59.0,54.5
2025/2026,10194,Stoke City,51.5,46,51.0,65.1,56.0,51.8
2025/2026,8462,Portsmouth,51.2,46,49.0,55.4,64.0,50.4
2025/2026,8451,Charlton Athletic,48.0,46,44.0,63.5,58.0,42.3
2025/2026,10163,Sheffield Wednesday,39.0,46,29.0,91.9,89.0,44.9
2026/2027,10004,Millwall,3.4,1,2.0,0.5,0.0,66.4
2026/2027,9850,Norwich City,3.0,1,1.0,1.8,2.0,53.7
2026/2027,8462,Portsmouth,2.2,1,1.0,2.1,3.0,54.4
2026/2027,8549,Middlesbrough,2.2,1,2.0,0.6,1.0,76.4
2026/2027,10172,Queens Park Rangers,2.1,1,3.0,2.2,1.0,45.6
2026/2027,8602,Wolverhampton Wanderers,2.0,1,2.0,0.8,2.0,55.2
2026/2027,8659,West Bromwich Albion,1.8,1,2.0,3.0,1.0,46.3
2026/2027,8411,Preston North End,1.1,1,1.0,1.1,2.0,45.1
2026/2027,8559,Bolton Wanderers,1.1,1,2.0,1.1,1.0,54.9
2026/2027,8451,Charlton Athletic,1.0,1,2.0,1.0,1.0,45.4
2026/2027,10170,Derby County,1.0,1,1.0,1.0,2.0,54.6
2026/2027,8655,Blackburn Rovers,0.8,1,2.0,2.0,2.0,44.8
2026/2027,8658,Birmingham City,0.8,1,0.0,0.3,0.0,54.7
2026/2027,8430,Lincoln City,0.6,1,1.0,2.2,2.0,23.6
2026/2027,10003,Swansea City,0.6,1,2.0,0.6,1.0,59.3
2026/2027,10194,Stoke City,0.6,1,1.0,0.6,2.0,40.7
2026/2027,8427,Bristol City,0.5,1,0.0,3.4,2.0,33.6
2026/2027,8657,Sheffield United,0.3,1,0.0,0.8,0.0,45.3
