round,match_date,home_team,away_team,match_url,player_name,team_name,minute,xg,xgot,result
1,2024-05-25,AGF,Brøndby IF,https://www.fotmob.com/en-GB/matches/agf-vs-brondby-if/2aozua#4757641:tab=stats,Nicolai Vallys,Brøndby IF,52,0.39,0.82,Goal
1,2024-05-25,AGF,Brøndby IF,https://www.fotmob.com/en-GB/matches/agf-vs-brondby-if/2aozua#4757641:tab=stats,Patrick Mortensen,AGF,60,0.03,0.01,Attempt saved
1,2024-05-25,AGF,Brøndby IF,https://www.fotmob.com/en-GB/matches/agf-vs-brondby-if/2aozua#4757641:tab=stats,Tobias Bach,AGF,64,0.06,,Blocked
1,2024-05-25,AGF,Brøndby IF,https://www.fotmob.com/en-GB/matches/agf-vs-brondby-if/2aozua#4757641:tab=stats,Felix Beijmo,AGF,64,0.03,,Blocked
1,2024-05-25,AGF,Brøndby IF,https://www.fotmob.com/en-GB/matches/agf-vs-brondby-if/2aozua#4757641:tab=stats,Tobias Bach,AGF,68,0.28,0.33,Attempt saved
1,2024-05-25,AGF,Brøndby IF,https://www.fotmob.com/en-GB/matches/agf-vs-brondby-if/2aozua#4757641:tab=stats,Tobias Bech,AGF,68,0.27,0.17,Attempt saved
1,2024-05-25,AGF,Brøndby IF,https://www.fotmob.com/en-GB/matches/agf-vs-brondby-if/2aozua#4757641:tab=stats,Mikael Anderson,AGF,71,0.04,,Miss
1,2024-05-25,AGF,Brøndby IF,https://www.fotmob.com/en-GB/matches/agf-vs-brondby-if/2aozua#4757641:tab=stats,Mileta Rajovic,Brøndby IF,78,0.02,0.05,Attempt saved
1,2024-05-25,AGF,Brøndby IF,https://www.fotmob.com/en-GB/matches/agf-vs-brondby-if/2aozua#4757641:tab=stats,Frederik Emmery,AGF,83,0.05,,Blocked
1,2024-05-25,AGF,Brøndby IF,https://www.fotmob.com/en-GB/matches/agf-vs-brondby-if/2aozua#4757641:tab=stats,Frederik Emmery,AGF,85,0.08,,Miss
1,2024-05-25,AGF,Brøndby IF,https://www.fotmob.com/en-GB/matches/agf-vs-brondby-if/2aozua#4757641:tab=stats,Mileta Rajovic,Brøndby IF,87,0.05,,Blocked
1,2024-05-25,AGF,Brøndby IF,https://www.fotmob.com/en-GB/matches/agf-vs-brondby-if/2aozua#4757641:tab=stats,Marko Divkovic,Brøndby IF,92,0.09,0.08,Attempt saved
1,2024-05-25,AGF,Brøndby IF,https://www.fotmob.com/en-GB/matches/agf-vs-brondby-if/2aozua#4757641:tab=stats,Mileta Rajovic,Brøndby IF,92,0.19,,Blocked
1,2024-05-25,AGF,Brøndby IF,https://www.fotmob.com/en-GB/matches/agf-vs-brondby-if/2aozua#4757641:tab=stats,Nicolai Vallys,Brøndby IF,9,0.17,0.18,Attempt saved
1,2024-05-25,AGF,Brøndby IF,https://www.fotmob.com/en-GB/matches/agf-vs-brondby-if/2aozua#4757641:tab=stats,Yuito Suzuki,Brøndby IF,9,0.53,0.97,Goal
1,2024-05-25,AGF,Brøndby IF,https://www.fotmob.com/en-GB/matches/agf-vs-brondby-if/2aozua#4757641:tab=stats,Tobias Mølgaard,AGF,13,0.02,0.42,Goal
1,2024-05-25,AGF,Brøndby IF,https://www.fotmob.com/en-GB/matches/agf-vs-brondby-if/2aozua#4757641:tab=stats,Kristian Arnstad,AGF,19,0.07,,Blocked
